case_number,year,century,sex,age,country,area,location,activity,type_attack,species
2004.04.07,2004,XXI,Male,Senior,Usa,Hawaii,"Kahana Beach, Maui",Surfing,Unprovoked,Tiger shark
2004.04.05,2004,XXI,Male,Teen,South Africa,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,Unprovoked,5 m [16.5'] white shark
2004.04.04,2004,XXI,Female,Young,Usa,Hawaii,Velzyland,Surfing,Invalid,Unknown
2004.03.31.b,2004,XXI,Male,Young,Usa,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,Unprovoked,Unknown
2004.03.31.a,2004,XXI,Male,Young,Usa,Florida,"Stuart Rocks, Martin County",Surfing,Unprovoked,1.2 m [4'] bull shark
2004.03.29,2004,XXI,Male,Young,Brazil,Pernambuco,Piedade Beach,Body boarding,Unprovoked,bull shark
2004.03.28,2004,XXI,Male,Unknown,Usa,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",Surfing,Unprovoked,bull shark
2004.03.27.b,2004,XXI,Male,Young,Reunion,Saint-Beno�t,Spot de la gare,Surfing,Unprovoked,2.5 m shark
2004.03.27.a,2004,XXI,Male,Senior,Usa,Florida,"Sanibel Island, Lee County",Swimming,Unprovoked,Unknown
2004.03.24,2004,XXI,Female,Unknown,Usa,Hawaii,Punaluu,Snorkeling,Unprovoked,1.8 m [6'] shark
2004.03.22,2004,XXI,Male,Unknown,New Zealand,North Island,Te Arai Point,Spearfishing,Unprovoked,Bronze whaler shark
2004.03.16,2004,XXI,Male,Adult,Usa,Hawaii,"Kalihiwai Beach, Kauai",Surfing,Unprovoked,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
2004.03.06,2004,XXI,Male,Adult,Australia,Western Australia,5 nm off Cervantes,Spearfishing,Unprovoked,"Bronze whaler shark, 1.5 m [5'] "
2004.02.29,2004,XXI,Male,Young,Brazil,Pernambuco,"Piedade Beach, Recife",Swimming,Unprovoked,Unknown
2004.02.26,2004,XXI,Male,Teen,New Zealand,"South Island, near Karitane north of Dunedin",South Beach,Surfing,Unprovoked,2 m [6.75'] sevengill  shark
2004.02.21,2004,XXI,Male,Unknown,Australia,New South Wales,"Taree, Old Bar Beach",Swimming,Unprovoked,Unknown
2004.02.16,2004,XXI,Male,Adult,Australia,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Free diving & spearfishing,Invalid,Shark involvement not confirmed
2004.02.14,2004,XXI,Male,Unknown,Egypt,Unknown,"Coral Bay, Sharm-el-Sheikh",Snorkeling,Unprovoked,Unknown
2004.02.11,2004,XXI,Male,Young,Australia,New South Wales,Caves Beach,Snorkeling,Unprovoked,"60 cm [23.6""] blind or brown shark"
2004.01.25,2004,XXI,Male,Adult,Australia,Western Australia,Binningup,Scuba diving,Unprovoked,4 m to 5 m [13' to 16.5'] white shark
2004.01.23,2004,XXI,Male,Young,Uruguay,Rocha,Ensenada de la Coronilla,Surfing,Unprovoked,Possibily a  1.5 to 2 m sandtiger shark
2004.01.22,2004,XXI,Male,Unknown,New Zealand,Northlands,90 Mile Beach,Boogie boarding,Invalid,Shark involvement doubtful
2004.01.21.b,2004,XXI,Male,Unknown,Venezuela,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",Swimming,Unprovoked,"Bull shark, 1.65 m [5'5""] was speared & killed"
2004.01.21.a,2004,XXI,Male,Adult,Venezuela,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,Unprovoked,"Bull shark, 132-kg [291-lb] "
2004.01.15.R,2004,XXI,Male,Unknown,South Africa,KwaZulu-Natal,Ballito,Surf skiing,Boating,"Mako shark, 3 m to 4 m [10' to 13'] "
2004.01.12,2004,XXI,Male,Unknown,Australia,New South Wales,Bushrangers Pass at Bass Point,Diving,Unprovoked,"Raggedtooth shark, 3.5 m [11.5'] "
2004.01.07,2004,XXI,Male,Young,South Africa,Eastern Cape Province,"West Beach, Port Alfred",Surfing,Unprovoked,Raggedtooth shark
2004.01.03.b,2004,XXI,Male,Unknown,New Zealand,North Island,"Whiritoa, Eastern Cormandel",Kayaking (returning from spearfishing),Invalid,Unknown
2004.01.03.a,2004,XXI,Unknown,Unknown,Egypt,Sinai Peninsula,Off Sharm El-Sheikh,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,Sea Disaster,Unknown
2004.00.00,2004,XXI,Male,Unknown,Australia,Western Australia,Redgate Beach,Surfing,Unprovoked,Unknown
2003.12.31,2003,XXI,Unknown,Unknown,South Africa,KwaZulu-Natal,Salt Rock ,Unknown,Boating,Shortfin mako shark
2003.12.26,2003,XXI,Male,Young,Usa,Florida,"Miami, Dade County",Swimming,Invalid,Questionable Incident
2003.12.13.b,2003,XXI,Male,Teen,Usa,Florida,"Melbourne Beach, Brevard County",Swimming,Unprovoked,Unknown
2003.12.13.a,2003,XXI,Male,Adult,New Zealand,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,Unprovoked,Unknown
2003.12.08,2003,XXI,Male,Adult,Australia,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,Unprovoked,Unknown
2003.11.30.b,2003,XXI,Male,Unknown,Australia,Western Australia,Perth? (Margaret River District),Swimming,Unprovoked,"Wobbegong shark, 1.2 m [4'] "
2003.11.30.a,2003,XXI,Male,Unknown,Australia,Western Australia,Perth? (Margaret River District),Swimming,Unprovoked,"Wobbegong shark, 1.2 m [4'] "
2003.11.27,2003,XXI,Male,Young,South Africa,KwaZulu-Natal,Sodwana,Spearfishing,Unprovoked,"Tiger shark, 4 m [13']  ?"
2003.11.22,2003,XXI,Female,Adult,Usa,Florida,"Daytona Beach, Volusia County",Surfing,Unprovoked,4' shark
2003.11.12.b,2003,XXI,Male,Adult,India,Tamilnadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,Unprovoked,Tiger shark?
2003.11.12.a,2003,XXI,Male,Young,Usa,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2003.11.06.b,2003,XXI,Male,Unknown,Egypt,Sinai Peninsula,"Sha�ab Mahmud, Ras Mohamed Park",Snorkeling,Unprovoked,2.5 oceanic whitetip shark
2003.11.06.a,2003,XXI,Unknown,Unknown,South Africa,KwaZulu-Natal,Karridene,Surf skiing,Unprovoked,White shark
2003.11.01,2003,XXI,Male,Unknown,Australia,New South Wales,"Seal Rocks, north of Newcastle",Standing,Unprovoked,Unknown
2003.11.00,2003,XXI,Male,Unknown,Panama,Pearl Islands,Unknown,Spearfishing,Provoked,"Nurse shark, 60 cm to 90 cm [2' to 3'] "
2003.10.31.c,2003,XXI,Male,Teen,Usa,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,Unprovoked,1.2 m to 1.5 m [4' to 5'] shark
2003.10.31.b,2003,XXI,Male,Young,Australia,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,Unprovoked,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
2003.10.31.a,2003,XXI,Female,Teen,Usa,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,Unprovoked,"Tiger shark, 14' "
2003.10.27,2003,XXI,Male,Adult,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2003.10.24,2003,XXI,Male,Senior,Usa,Hawaii,Honolua Bay,Snorkeling,Invalid,Shark involvement not confirmed
2003.10.14,2003,XXI,Male,Teen,Usa,Florida,Near Patrick Air Force Base Brevard County,Surfing,Unprovoked,1.2 m [4'] shark
2003.10.06,2003,XXI,Male,Unknown,Usa,Florida,Palm Beach?,Swimming to shore from boat or kayak,Invalid,Unknown
2003.10.05.e,2003,XXI,Female,Unknown,Usa,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,Unprovoked,Unknown
2003.10.05.d,2003,XXI,Male,Teen,Usa,Florida,"Stuart Park Beach, Martin County",Surfing,Unprovoked,Unknown
2003.10.05.c,2003,XXI,Male,Young,Usa,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,Provoked,Unknown
2003.10.05.b,2003,XXI,Male,Adult,Usa,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,Unprovoked,Unknown
2003.10.05.a,2003,XXI,Female,Adult,Usa,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,Unprovoked,"1.2 m [4'] ""grey-colored shark"""
2003.09.29,2003,XXI,Male,Adult,Fiji,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,Unprovoked,Unknown
2003.09.28,2003,XXI,Male,Teen,Usa,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,Unprovoked,Unknown
2003.09.21,2003,XXI,Male,Young,Usa,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2003.09.19,2003,XXI,Male,Teen,Usa,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2003.09.17,2003,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2003.09.14.c,2003,XXI,Male,Young,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,3' shark
2003.09.14.b,2003,XXI,Unknown,Old,South Africa,Western Cape Province,Melkbosstrand,Fishing ,Boating,2 m cow shark
2003.09.14.a,2003,XXI,Female,Old,Usa,Florida,"Bathtub Reef Beach, Martin County",Swimming,Invalid,Shark involvement doubtful
2003.09.13.b,2003,XXI,Male,Teen,Usa,Florida,"Daytona Beach, Volusia County ",Body boarding,Unprovoked,6' shark
2003.09.13.a,2003,XXI,Male,Teen,Usa,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",Unprovoked,7' shark
2003.09.12,2003,XXI,Male,Teen,South Africa,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Body boarding,Unprovoked,White shark
2003.09.00,2003,XXI,Male,Unknown,Usa,Florida,"Boca Grande, Lee County",Wade-fishing,Unprovoked,Unknown
2003.08.29,2003,XXI,Male,Unknown,Usa,Texas,1.5 miles off Surfside ,Fishing,Provoked,1.2 m [4'] bull shark
2003.08.19,2003,XXI,Female,Adult,Usa,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",Unprovoked,4.5 m to 5.5 m [15' to 18'] white shark
2003.08.12,2003,XXI,Male,Adult,Usa,California,"Venice Beach, Los Angeles County",Swimming,Invalid,Shark involvement not confirmed
2003.08.08,2003,XXI,Male,Teen,South Africa,Eastern Cape Province,Jeffrey�s Bay,Sitting on surfboard,Unprovoked,3.5 m [11.5'] white shark
2003.07.26.R,2003,XXI,Male,Adult,Australia,Northern Territory,Nhulunbuy,Surf skiing,Unprovoked,Unknown
2003.07.20,2003,XXI,Male,Teen,Usa,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unknown
2003.07.15,2003,XXI,Female,Teen,Usa,Florida,"Daytona Beach, Volusia County",Wading,Unprovoked,Unknown
2003.07.09,2003,XXI,Male,Senior,Bahamas,Abaco Islands,Bakers Bay,Spearfishing,Unprovoked,Unidentified species
2003.07.05.b,2003,XXI,Male,Children,Usa,Florida,"Near New Smyrna Jetty, Volusia County","Walking, carrying surfboard & stepped on shark",Provoked,2' shark
2003.07.05.a,2003,XXI,Male,Young,Usa,Florida,"Canova Beach, Brevard County",Surfing,Unprovoked,1.5 m to 1.8 m [5' to 6'] shark
2003.07.04,2003,XXI,Male,Adult,Bahamas,Abaco Islands,10 miles west of Walker�s Cay,Spearfishing,Unprovoked,2.1 m  [7'] bull shark
2003.07.00.c,2003,XXI,Male,Unknown,Usa,Florida,"Fort Lauderdale, Broward County",Spearfishing,Unprovoked,8' great hammerhead shark
2003.07.00.b,2003,XXI,Male,Unknown,French Polynesia,Society Islands,Moorea,Spearfishing,Unprovoked,Unknown
2003.07.00.a,2003,XXI,Male,Unknown,New Zealand,Cook Islands,Beveridge Reef,Snorkeling,Unprovoked,Grey reef shark
2003.06.30,2003,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unidentified species
2003.06.26,2003,XXI,Male,Teen,Usa,Florida,St Augustine Beach. St. Johns County,Surfing,Unprovoked,106 cm [3.5']  shark
2003.06.24.c,2003,XXI,Male,Unknown,Brazil,Pernambuco,"Piedade, Recife",Unknown,Unprovoked,Unknown
2003.06.24.b,2003,XXI,Female,Teen,Usa,Florida,"Cocoa Beach, Brevard County",Standing,Unprovoked,�small brown shark�
2003.06.24.a,2003,XXI,Male,Senior,Usa,Hawaii,"Makua Beach, Oahu",Swimming with pod of dolphins,Unprovoked,3.7 m to 4.3 m [12' to 14'] shark
2003.06.22,2003,XXI,Male,Adult,Usa,Johnston Atoll,Unknown,Swimming,Unprovoked,Unidentified species
2003.06.19,2003,XXI,Male,Adult,Usa,North Carolina,"Masonboro Island, New Hanover County",Surfing ,Unprovoked,"""sand shark"""
2003.06.08,2003,XXI,Unknown,Teen,Usa,Florida,"Ponce Inlet, Volusia County",Surfing,Unprovoked,Unknown
2003.06.00,2003,XXI,Female,Young,Usa,South Carolina,"Pawleys Island, Georgetown County",Swimming,Invalid,Shark involvement not confirmed
2003.05.25,2003,XXI,Male,Teen,Usa,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,Unprovoked,Unknown
2003.05.14,2003,XXI,Male,Young,Usa,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,Unprovoked,3' to 5' shark
2003.05.10,2003,XXI,Male,Young,Usa,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,Unprovoked,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark
2003.05.07,2003,XXI,Male,Adult,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Provoked,4' to 5' shark
2003.05.03,2003,XXI,Female,Children,Usa,Florida,"Daytona Beach Shores, Volusia County",Walking,Unprovoked,Unknown
2003.05.00,2003,XXI,Unknown,Unknown,Philippines,Baatan,Limay,Unknown,Unprovoked,White shark
2003.04.26,2003,XXI,Male,Unknown,Brazil,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Killing  sharks,Provoked,Unknown
2003.04.25,2003,XXI,Male,Teen,Brazil,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming ,Unprovoked,Unknown
2003.04.23.b,2003,XXI,Male,Teen,Brazil,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",Surfing,Unprovoked,Bull shark
2003.04.23.a,2003,XXI,Male,Children,Brazil,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,Unprovoked,Unknown
2003.04.21.b,2003,XXI,Male,Adult,Usa,Florida,"Melbourne Beach, Brevard County ",Surfing,Unprovoked,Unidentified species
2003.04.21.a,2003,XXI,Male,Teen,Usa,Florida,"Shepard Park, Cocoa Beach, Brevard County ",Surfing,Unprovoked,Unidentified species
2003.04.20.c,2003,XXI,Male,Young,Usa,Florida,"Playalinda Beach, Brevard County",Surfing,Unprovoked,Unidentified species
2003.04.20.b,2003,XXI,Male,Young,Usa,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",Surfing,Unprovoked,0.9 m to 1.2 m [3' to 4'] shark
2003.04.20.a,2003,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Unidentified species
2003.04.19,2003,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County  ",Jumping,Unprovoked,A �small� shark
2003.04.18,2003,XXI,Male,Teen,Usa,Florida,"North Beach, Patrick AFB, Brevard County",Surfing,Unprovoked,Unidentified species
2003.04.15,2003,XXI,Male,Young,Usa,Florida,"Cocoa Beach, Brevard County",Swimming (using a float),Unprovoked,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee"
2003.04.11,2003,XXI,Male,Young,Venezuela,Nueva Esparta,"El Yaqu, Isla de Margarita",Surfing,Unprovoked,"Mako shark, 3 m [10']"
2003.04.09,2003,XXI,Male,Unknown,Usa,Florida,"Melbourne Beach, Brevard County",Surfing,Unprovoked,Unknown
2003.04.04,2003,XXI,Male,Adult,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,4' to 5' shark
2003.03.10,2003,XXI,Female,Unknown,Usa,Florida,"Petting Tank, Florida Aquarium, Tampa, Hillsborough County",Petting captive sharks,Provoked,60 cm [2'] captive shark
2003.02.27,2003,XXI,Male,Adult,New Zealand,Southland,East side of Bench Island in the Foveaux Strait,Scuba diving,Unprovoked,2.5 m [8.25'] white shark
2003.02.15.b,2003,XXI,Male,Adult,Australia,South Australia,"Goolwa Beach, Fleurieu Peninsula",Wading,Unprovoked,"""a small shark"""
2003.02.15.a,2003,XXI,Male,Adult,Usa,Florida,"Jupiter, Palm Beach County",Swimming,Unprovoked,Species unidentified
2003.02.11,2003,XXI,Male,Young,Australia,New South Wales,"Coogee Bay, near Sydney",Swimming,Unprovoked,Thought to involve a 2 m [6.75'] grey nurse shark
2003.02.08,2003,XXI,Male,Old,Australia,Queensland,Burleigh Lake on the Gold Coast,Swimming,Unprovoked,Thought to involve a >2 m [6.75'] bull shark
2003.01.17,2003,XXI,Male,Teen,South Africa,Western Cape Province,"Near the lagoon at Table View, Cape Peninsula",Unknown,Invalid,Unknown
2003.01.03,2003,XXI,Male,Unknown,Costa Rica,North Pacific coast,Playa Tamarindo ,Surfing,Unprovoked,"Bull shark, 7'"
2003.01.02,2003,XXI,Female,Unknown,Australia,Western Australia,Left break at the �Hot Spot� at Sheringa Beach,Surfing,Unprovoked,"Bronze whaler shark, 2.5 m [8.25'] "
2002.12.29,2002,XXI,Female,Teen,Australia,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,Unprovoked,Reported to involve a hammerhead shark
2002.12.24,2002,XXI,Male,Young,South Africa,Western Cape Province,Scarborough,Snorkeling,Unprovoked,"White shark, 4 m white shark"
2002.12.21,2002,XXI,Male,Young,Australia,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Scuba diving,Unprovoked,"Wobbegong shark, 1m"
2002.12.20,2002,XXI,Male,Teen,Australia,Queensland,Golden Beach,Swimming,Invalid,"Shark involvement not confirmed, injury may be due to a stingray"
2002.12.16,2002,XXI,Male,Young,Australia,Queensland,Miami Lake,Swimming,Unprovoked,Bull shark
2002.12.01,2002,XXI,Male,Teen,Brazil,Pernambuco,"Boa Viagem Beach, Recife",Surfing,Unprovoked,Unknown
2002.11.28.b,2002,XXI,Male,Unknown,Micronesia,Caroline Islands,"Pision Reef, Truk",Scuba diving,Unprovoked,Blacktip shark
2002.11.28.a,2002,XXI,Male,Adult,Usa,California,"Salmon Creek, Sonoma County",Body boarding,Unprovoked,3 m to 4.5 m [10' to 15'] white shark
2002.11.17,2002,XXI,Female,Adult,Usa,Hawaii,Ka'anapali,Swimming,Unprovoked,2.4 m to 3 m [8' to 10'] grey colored shark
2002.11.14,2002,XXI,Female,Adult,Turks & Caicos,Caicos Bank,French Cay,Snorkeling,Unprovoked,1.8 m to 2.1 m [6' to 7']� Caribbean Reef Shark 
2002.11.11,2002,XXI,Male,Young,Usa,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,6' shark
2002.11.02,2002,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,Unprovoked,3' to 4' shark
2002.11.00.a,2002,XXI,Male,Adult,French Polynesia,Society Islands,Tetiaroa,"Fishing, standing in 2' of water",Unprovoked,Unknown
2002.10.30,2002,XXI,Female,Senior,Usa,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,Unprovoked,A �small� shark
2002.10.14,2002,XXI,Male,Adult,Brazil,Pernambuco,"Piedade Beach, Jaboat�o dos Guararapes City, Recife",Swimming,Unprovoked,Possibly a bull shark or tiger shark
2002.10.11,2002,XXI,Male,Young,Usa,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,Unprovoked,Unknown
2002.10.05.b,2002,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,Blacktip or spinner shark
2002.10.05.a,2002,XXI,Male,Adult,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,3.5' to 4.5' shark
2002.10.03,2002,XXI,Male,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,3.5' to 4' shark
2002.09.30,2002,XXI,Male,Adult,Usa,Florida,"Ormond Beach, Volusia County",Surfing,Unprovoked,4' to 5' shark
2002.09.29,2002,XXI,Male,Adult,Usa,Florida,"Sebastian Inlet, Brevard County",Surfing,Unprovoked,Unknown
2002.09.27.c,2002,XXI,Male,Adult,Usa,Hawaii,"Kahala, O'ahu",Fishing from Surfboard,Unprovoked,1.2 m [4'] blacktip shark
2002.09.27.b,2002,XXI,Male,Unknown,Usa,Florida,"Key Largo, Monroe County",Fishing,Provoked,1.8 m [6'] blacktip shark
2002.09.27.a,2002,XXI,Male,Unknown,Tonga,Vava'u,Swimming with humpback whales,Swimming,Provoked,"Tiger shark, 1.5 m [5']k"
2002.09.21.b,2002,XXI,Male,Young,Usa,Oregon,Cape Kiwanda,Boogie boarding or Surfing,Unprovoked,2.4 m [8'] shark
2002.09.21.a,2002,XXI,Male,Adult,Usa,California,"Moonstone Beach, Humboldt County",Surfing,Unprovoked,3 m to 3.7 m [10' to 12'] shark
2002.09.16.b,2002,XXI,Male,Teen,Brazil,Pernambuco,"Piedade Beach, Jaboat�o dos Guararapes City",Swimming,Unprovoked,Bull or tiger shark
2002.09.16.a,2002,XXI,Unknown,Unknown,Usa,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,Unprovoked,Unknown
2002.09.13,2002,XXI,Male,Adult,South Africa,Western Cape Province,"Glencairn, False Bay",Surf skiing,Unprovoked,White shark
2002.09.09,2002,XXI,Male,Young,Usa,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Boogie boarding,Unprovoked,4' to 6' shark
2002.09.05,2002,XXI,Male,Adult,Usa,Florida,"Daytona Beach Shores, Volusia County","Wading, when he stepped on the shark",Provoked,1' to 2' hammerhead or bonnethed shark
2002.08.28,2002,XXI,Male,Teen,Usa,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,Unprovoked,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
2002.08.17,2002,XXI,Female,Young,Usa,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,Unprovoked,Unknown
2002.08.14,2002,XXI,Male,Young,Usa,Florida,"New Smyrna Beach, Volusia County",Surfing,Unprovoked,0.9 m  to 1.2 m [3' to 4'] shark
2002.08.11,2002,XXI,Male,Teen,Usa,Florida,"Vero Beach, Indian River County",Surfing,Unprovoked,"Nurse shark, 1.5 m [5'] "
2002.08.07,2002,XXI,Male,Teen,Usa,Florida,"Ponce De Leon Inlet, Volusia County",Standing,Unprovoked,Unknown
2002.08.06.R,2002,XXI,Male,Young,United Kingdom,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,Provoked,"Sandtiger shark, 3 m [10'] "
2002.08.05,2002,XXI,Male,Teen,Usa,North Carolina,"Topsail Beach, Pender County",Standing,Unprovoked,1.2 m to 1.5 m [4' to 5'] shark
2002.07.26,2002,XXI,Male,Teen,Usa,South Carolina,"Myrtle Beach, Horry County",Surfing,Unprovoked,1.2 m [4'] blacktip or sandbar shark
2002.07.20,2002,XXI,Female,Teen,Usa,North Carolina,"Emerald Isle, Carteret County",Swimming,Unprovoked,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
2002.07.10,2002,XXI,Male,Teen,Usa,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Provoked,Unknown
2002.07.09.b,2002,XXI,Male,Adult,Usa,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",Shark Fishing,Provoked,"Mako shark, 400-lb "
2002.07.09.a,2002,XXI,Male,Young,Brazil,Pernambuco,"Piedade Beach, Recife",Surfing,Unprovoked,Bull or tiger shark
2002.07.04,2002,XXI,Female,Children,Usa,North Carolina,"Wrightsville Beach, New Hanover County",Standing,Unprovoked,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark"
2002.06.20.b,2002,XXI,Male,Young,Australia,Queensland,Sunshine Beach,Surfing,Unprovoked,Unknown
2002.06.20.a,2002,XXI,Female,Teen,Usa,Florida,"New Smyrna Beach, Volusia County",Swimming,Unprovoked,Unknown
2002.06.16,2002,XXI,Unknown,Unknown,Indonesia,Unknown,"Shark caught in Indonesia, offloaded to trawler that docked at Samut Prakan, 20 miles south of Bangkok, Thailand",Unknown,Invalid,Unknown
2002.06.13.R2,2002,XXI,Unknown,Unknown,Papua New Guinea,Louisiade Archipelago,"Brooker Island , Calvados Chain",Unknown,Unprovoked,Unknown
2002.06.13.R1,2002,XXI,Unknown,Unknown,Papua New Guinea,Louisiade Archipelago,"Gawa Reefs, Sudest Island",Attempting to retreive a dinghy,Unprovoked,Unknown
2002.06.11.b,2002,XXI,Unknown,Unknown,Usa,Hawaii,"Anini Beach, Kaua'i",Sitting on surfboard,Unprovoked,"Tiger shark, 2.4 m to 2.7 m [8' to 9']  "
2002.06.11.a,2002,XXI,Male,Young,Usa,Florida,"St Augustine Beach, St Johns County",Surfing,Unprovoked,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand
2002.06.09.b,2002,XXI,Male,Adult,Usa,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,Unprovoked,� 
2002.06.09.a,2002,XXI,Male,Children,Usa,Florida,"Jensen Beach, Martin County ",Swimming,Unprovoked,Unknown
2002.06.03,2002,XXI,Male,Adult,South Africa,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Snorkeling (filming the sardine run),Unprovoked,1.5 to 2.5 m [5' to 8.25'] copper shark
2002.05.31.b,2002,XXI,Male,Young,Usa,California,"Stinson Beach, Marin County",Surfing,Unprovoked,3.7 m to 4.3 m [12' to 14'] white shark
2002.05.31.a,2002,XXI,Male,Teen,Usa,Florida,"St. George Island (near Apachicola), Franklin County",Floating on a raft,Unprovoked,1 m  shark
2002.05.22.b,2002,XXI,Male,Adult,Usa,Florida,"a pier at the end of Caxambas Drive, Marco Island ","Fishing, removing the shark from his line",Provoked,3' blacktip shark
2002.05.22.a,2002,XXI,Male,Adult,Usa,Florida,"Atlantic Avenue, Palm Beach County",Playing in the surf with his 2 dogs,Unprovoked,Unknown
2002.05.21.R,2002,XXI,Male,Unknown,Costa Rica,Guanacaste,Playa Grande,Surfing,Unprovoked,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
2002.05.21,2002,XXI,Male,Teen,Papua New Guinea,Milne Bay Province,Tewatewa Island,Collecting beche-de-mer,Unprovoked,Unknown
2002.05.13,2002,XXI,Male,Adult,Usa,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,Unprovoked,2.1 m to 2.4 m [7' to 8'] shark
2002.05.10,2002,XXI,Male,Adult,Brazil,Pernambuco,"Pina, Recife",Surfing,Unprovoked,Unknown
2002.05.07,2002,XXI,Male,Young,Australia,Northern Territory,Darwin,Fishing from prawn trawler,Provoked,Unknown
2002.04.30,2002,XXI,Male,Young,Australia,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Scallop diving (using surface-supplied air & a POD) ,Unprovoked,"White shark, 6m [20']"
2002.04.21,2002,XXI,Male,Adult,Australia,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing (Drowned 2-Apr-2002),Invalid,Unknown
