,Country,Year,Case Number,Date,Sex,Age,Fatal (Yes/No),href formula
980,USA,2008,2008.09.14,14-Sep-08,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.09.14-Ormond-by-the-Sea.pdf
981,USA,2008,2008.09.09,09-Sep-08,M,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.09.09-Murashige.pdf
982,USA,2008,2008.09.08,08-Sep-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.09.08-Kyle.pdf
983,AUSTRALIA,2008,2008.09.07,07-Sep-08,M,51,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.09.07-Morgan.pdf
984,USA,2008,2008.09.06.b,06-Sep-08,M,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.09.06.b-NSB.pdf
985,USA,2008,2008.09.06.a,06-Sep-08,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.09.06.a-NSB.pdf
986,USA,2008,2008.09.01,01-Sep-08,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.09.01-McGauley.pdf
987,USA,2008,2008.09.00,Sep-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.09.00-Zbar.pdf
988,AUSTRALIA,2008,2008.08.30.c,30-Aug-08,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.30.c-Vining.pdf
989,USA,2008,2008.08.30.b,30-Aug-08,M,27,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.30.b-Brown.pdf
990,ENGLAND,2008,2008.08.30.a,30-Aug-08,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.30.a-Perkins.pdf
991,USA,2008,2008.08.28,28-Aug-08,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.28-Gold.pdf
992,USA,2008,2008.08.27,27-Aug-08,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.27-Zgura.pdf
993,USA,2008,2008.08.24,24-Aug-08,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.24-Shoup.pdf
994,USA,2008,2008.08.22,24-Aug-08,F,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.22-Brothers.pdf
995,USA,2008,2008.08.20,20-Aug-08,M,47,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.20-JackMiller.pdf
996,USA,2008,2008.08.18,18-Aug-08,M,7,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.18-boy-SC.pdf
997,USA,2008,2008.08.16,16-Aug-08,F,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.16-Riggs.pdf
998,USA,2008,2008.08.12,12-Aug-08,F,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.12-Klopchin.pdf
999,USA,2008,2008.08.11,11-Aug-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.08.11-AlaMoana.pdf
1000,AUSTRALIA,2008,2008.07.30.R,30-Jul-08,M,31,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.30-Seare.pdf
1001,SOUTH AFRICA,2008,2008.07.30,Reported 30-Jul-2008,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.30.R-Rutzen.pdf
1002,PANAMA,2008,2008.07.27,27-Jul-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.27-Solis.pdf
1003,MEXICO,2008,2008.07.26.b,26-Jul-08,M,33,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.26.b-Seacrest.pdf
1004,USA,2008,2008.07.26.a,26-Jul-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.26.a-Maui
1005,USA,2008,2008.07.25.b,25-Jul-08,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.25.b-Fulton.pdf
1006,USA,2008,2008.07.25.a,25-Jul-08,F,44,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.25.a-Fiack.pdf
1007,USA,2008,2008.07.24.b,24-Jul-08,M,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.24.b-Martin.pdf
1008,USA,2008,2008.07.24.a,24-Jul-08,F,8,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.24.a-Sinsley.pdf
1009,USA,2008,2008.07.23,23-Jul-08,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.23-Zettle.pdf
1010,USA,2008,2008.07.19,19-Jul-08,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.19-NewSmyrnaBach.pdf
1011,EGYPT,2008,2008.07.18,18-Jul-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.18-RedSea.pdf
1012,USA,2008,2008.07.13,13-Jul-08,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.13-Griffin.pdf
1013,USA,2008,2008.07.11,11-Jul-08,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.11-Isle-of-Palms.pdf
1014,USA,2008,2008.07.09,09-Jul-08,F,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.09-Foster.pdf
1015,USA,2008,2008.07.05,05-Jul-08,F,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.05-Lunti.pdf
1016,UNITED KINGDOM,2008,2008.07.00,Late Jul-2008,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.07.00-UK-dinghy.pdf
1017,USA,2008,2008.06.28.c,28-Jun-08,M,53,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.28.c-Labarios.pdf
1018,BAHAMAS,2008,2008.06.28.b,28-Jun-08,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.28.b-Briggs.pdf
1019,SOUTH AFRICA,2008,2008.06.28.a,28-Jun-08,M,46,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.28.a-Maritz.pdf
1020,SOUTH AFRICA,2008,2008.06.26.R,Reported 26-Jun-2008,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.26.R-Macghie.pdf
1021,USA,2008,2008.06.26.b,26-Jun-08,M,29,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.26.b-NSB.pdf
1022,USA,2008,2008.06.26.a,26-Jun-08,M,37,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.26.a-Pearman.pdf
1023,BRAZIL,2008,2008.06.24,24-Jun-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.24-Brazil.pdf
1024,USA,2008,2008.06.21,21-Jun-08,F,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.21-Pereira.pdf
1025,USA,2008,2008.06.20,20-Jun-08,F,35,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.20-Cation.pdf
1026,BRAZIL,2008,2008.06.11,11-Jun-08,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.11-Rodrigues.pdf
1027,USA,2008,2008.06.07,07-Jun-08,M,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.07-Vasbinder.pdf
1028,SCOTLAND,2008,2008.06.02.R,Reported 02-Jun-2008,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.02.R-Scotland.pdf
1029,USA,2008,2008.06.01.b,01-Jun-08,F,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.01.b-Taff.pdf
1030,BRAZIL,2008,2008.06.01.a,01-Jun-08,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.06.01-Santos.pdf
1031,USA,2008,2008.05.26,26-May-08,M,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.26-Early.pdf
1032,BAHAMAS,2008,2008.05.24.b,24-May-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.24.b-BahamasBoat.pdf
1033,MEXICO,2008,2008.05.24.a,24-May-08,M,49,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.24.a-Grimes.pdf
1034,MEXICO,2008,2008.05.23,23-May-08,M,21,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.23-Mata.pdf
1035,FIJI,2008,2008.05.14,14-May-08,M,28,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.14-Sidole.pdf
1036,AUSTRALIA,2008,2008.05.10,10-May-08,M,37,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.10-JasonCull.pdf
1037,NEW CALEDONIA,2008,2008.05.07.b,07-May-08,M,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.07.b-NewCaledonia.pdf
1038,USA,2008,2008.05.07.a,07-May-08,M,6,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.07.a-Atcha.pdf
1039,SOUTH AFRICA,2008,2008.05.01,01-May-08,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.01-fisherman.pdf
1040,MEXICO,2008,2008.04.28.b,28-Apr-08,M,24,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.28.b-Ruiz.pdf
1041,USA,2008,2008.04.28.a,28-Apr-08,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.28.a-Alger.pdf
1042,USA,2008,2008.04.27,27-Apr-08,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.27-Tobin.pdf
1043,NEW CALEDONIA,2008,2008.04.26.b,26-Apr-08,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.26.b-Vilain.pdf
1044,USA,2008,2008.04.26.a,26-Apr-08,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.26.a-Pattison.pdf
1045,USA,2008,2008.04.25,25-Apr-08,M,66,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.25-DaveMartin.pdf
1046,USA,2008,2008.04.20.b,20-Apr-08,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.20.b-Girl.pdf
1047,AUSTRALIA,2008,2008.04.20.a,20-Apr-08,M,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.20.a-Adlington.pdf
1048,SOUTH AFRICA,2008,2008.04.19.R,Reported 19-Apr-2008,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.19.R-Avenier.pdf
1049,MEXICO,2008,2008.04.18,18-Apr-08,M,32,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.18-Villanueva.pdf
1050,AUSTRALIA,2008,2008.04.17,17-Apr-08,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.17-Weale.pdf
1051,USA,2008,2008.04.15,15-Apr-08,M,30,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.15-Phillips.pdf
1052,USA,2008,2008.03.28.a,28-Mar-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.a-Holloway.pdf
1053,FIJI,2008,2008.04.09.R,Reported 09-Apr-2008,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.09.R-Meli-Fiji.pdf
1054,USA,2008,2008.04.08.R,Reported 08-Apr-2008,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.08.R-NSB-2.pdf
1055,AUSTRALIA,2008,2008.04.08,08-Apr-08,M,16,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.08.a-Edmonds.pdf
1056,USA,2008,2008.04.03,03-Apr-08,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.03-Giangrasso.pdf
1057,SOUTH AFRICA,2008,2008.03.28.c,28-Mar-08,M,39,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.c-Peens.pdf
1058,USA,2008,2008.03.28.b,28-Mar-08,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.b-Lemelin.pdf
1059,USA,2008,2008.03.25,25-Mar-08,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.25-Canganelli.pdf
1060,USA,2008,2008.03.23,23-Mar-08,M,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.23-NewSmyrnaBeach.pdf
1061,USA,2008,2008.03.21,21-Mar-08,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.21-NewSmyrnaBeach.pdf
1062,USA,2008,2008.03.15,15-Mar-08,M,8,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.15-BonitaSprings.pdf
1063,USA,2008,2008.03.07,07-Mar-08,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.07-Larkin.pdf
1064,BAHAMAS,2008,2008.02.24,24-Feb-08,M,49,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.24-Groh.pdf
1065,FRENCH POLYNESIA,2008,2008.02.21.R,Reported 21-Feb-2008,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.21.R-Hauta.pdf
1066,USA,2008,2008.02.15,15-Feb-08,M,25,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.15-Bradner.pdf
1067,AUSTRALIA,2008,2008.02.07,07-Feb-08,F,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.07-Casey.pdf
1068,USA,2008,2008.02.06,06-Feb-08,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.06-Surfer.pdf
1069,SOUTH AFRICA,2008,2008.01.29,29-Jan-08,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.29-Symington.pdf
1070,AUSTRALIA,2008,2008.01.27,27-Jan-08,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.27-Tinson.pdf
1071,NEW ZEALAND,2008,2008.01.19.R,Reported 19-Jan-2008,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.19.R-O'Neill.pdf
1072,NEW ZEALAND,2008,2008.01.14,14-Jan-08,,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.14-inflatable-boat.pdf
1073,USA,2008,2008.01.10,10-Jan-08,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.10-Marsden.pdf
1074,USA,2008,2008.00.00.b,Fall 2008,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.00.00.b-Silva.pdf
1075,MEXICO,2008,2008.00.00.a,Summer-2008,M,26,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.00.00.a-Edwards.pdf
1076,ECUADOR,2007,2007.12.21,21-Dec-07,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.21-Judd.pdf
1077,BRITISH VIRGIN ISLANDS,2007,2007.12.19,19-Dec-07,M,53,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.19-Johanning.pdf
1078,AUSTRALIA,2007,2007.12.18,18-Dec-07,M,31,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.18-Morcom.pdf
1079,AUSTRALIA,2007,2007.12.15,15-Dec-07,M,teen,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.15-Edwards.pdf
1080,AUSTRALIA,2007,2007.12.14,14-Dec-07,M,34,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.14-Wright.pdf
1081,USA,2007,2007.12.10,10-Dec-07,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.10-Ramirez.pdf
1082,NEW ZEALAND,2007,2007.12.09,09-Dec-07,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.09-Hislop.pdf
1083,BRAZIL,2007,2007.12.07,07-Dec-07,M,28,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.07-Malvis.pdf
1084,AUSTRALIA,2007,2007.11.18,18-Nov-07,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.18-WA.pdf
1085,AUSTRALIA,2007,2007.11.08,08-Nov-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.08-Evans.pdf
1086,SOUTH AFRICA,2007,2007.11.07,07-Nov-07,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.07-Smith.pdf
1087,USA,2007,2007.11.06,06-Nov-07,M,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.06-Fox.pdf
1088,USA,2007,2007.11.04,04-Nov-07,M,42,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.04-Nolan.pdf
1089,SOUTH AFRICA,2007,2007.11.03,03-Nov-07,M,37,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.03-Mellin.pdf
1090,MEXICO,2007,2007.11.00,Nov-11,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.00-cage.pdf
1091,USA,2007,2007.10.29,29-Oct-07,M,32,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.29-Finley.pdf
1092,AUSTRALIA,2007,2007.10.15,15-Oct-07,F,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.15-Whitehurst.pdf
1093,AUSTRALIA,2007,2007.10.13,13-Oct-07,M,31,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.13-Wood.pdf
1094,USA,2007,2007.10.07,07-Oct-07,M,22,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.07-Bendall.pdf
1095,USA,2007,2007.10.06,06-Oct-07,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.06-EH.pdf
1096,USA,2007,2007.09.30.c,30-Sep-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.c-Sinagra.pdf
1097,PHILIPPINES,2007,2007.09.30.b,30-Sep-07,M,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.b-Mia.pdf
1098,NEW CALEDONIA,2007,2007.09.30.a,30-Sep-07,F,23,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.a-Belliard.pdf
1099,BAHAMAS,2007,2007.09.28,28-Sep-07,F,48,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.28-Gano.pdf
1100,USA,2007,2007.09.27.b,27-Sep-07,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.27.b-Snyder.pdf
1101,EGYPT,2007,2007.09.27.a,27-Sep-07,F,18 or 20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.27.a-Aleksandrova.pdf
1102,USA,2007,2007.09.22.b,22-Sep-07,F,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.22.b-Cuomo.pdf
1103,USA,2007,2007.09.22.a,22-Sep-07,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.22.a-HuguenotPark.pdf
1104,USA,2007,2007.09.20,20-Sep-07,M,23,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.20-Robertson.pdf
1105,SOLOMON ISLANDS,2007,2007.09.17,17-Sep-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.17-Corey.pdf
1106,USA,2007,2007.09.16.b,16-Sep-07,M,56,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.16.b-Calogero.pdf
1107,USA,2007,2007.09.16.a,16-Sep-07,F,Teen,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.16.a-Riley.pdf
1108,USA,2007,2007.09.13,13-Sep-07,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.13-Chapman.pdf
1109,USA,2007,2007.09.08,08-Sep-07,F,58,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.08-Griffin.pdf
1110,USA,2007,2007.09.05,05-Sep-07,F,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.05-Wilson.pdf
1111,USA,2007,2007.09.04,04-Sep-07,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.04-Corr.pdf
1112,USA,2007,2007.09.03.b,03-Sep-07,F,12,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.03.b-Daytona.pdf
1113,USA,2007,2007.09.03.a,03-Sep-07,M,58,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.03.a-Iaciofano.pdf
1114,USA,2007,2007.08.28.b,28-Aug-07,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.28.b-Sumait.pdf
1115,USA,2007,2007.08.28.a,28-Aug-07,M,24,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.28.a-Endris.pdf
1116,USA,2007,2007.08.26,26-Aug-07,M,54,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.26-Coursey.pdf
1117,USA,2007,2007.08.25,25-Aug-07,M,27,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.25-Smith.pdf
1118,USA,2007,2007.08.22,22-Aug-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.22-Pennington.pdf
1119,USA,2007,2007.08.20,20-Aug-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.20-DelawareFisherman.pdf
1120,USA,2007,2007.08.19.c,19-Aug-07,M,52,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.c-Olstad.pdf
1121,USA,2007,2007.08.19.b,19-Aug-07,M,16,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.b-NewSmyrnaBeach.pdf
1122,USA,2007,2007.08.19.a.,19-Aug-07,M,7,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.a-boy.pdf
1123,USA,2007,2007.08.15,15-Aug-07,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.15-Lynch.pdf
1124,USA,2007,2007.08.12,12-Aug-07,F,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.12-girl-NewSmyrnaBeach.pdf
1125,USA,2007,2007.08.11,11-Aug-07,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.11-Barton.pdf
1126,USA,2007,2007.08.09.b,09-Aug-07,M,30,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.09.b-NoahGreen.pdf
1127,USA,2007,2007.08.09.a,09-Aug-07,M,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.09.a-ChaseCrawford.pdf
1128,USA,2007,2007.08.07,07-Aug-07,F,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.07-Silverman.pdf
1129,USA,2007,2007.07.29,29-Jul-07,M,51,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.29-JeffreyClark.pdf
1130,USA,2007,2007.07.28,28-Jul-07,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.28-Springer.pdf
1131,USA,2007,2007.07.22,22-Jul-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.22-Calandra.pdf
1132,USA,2007,2007.07.21,21-Jul-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.21-DanPrather.pdf
1133,USA,2007,2007.07.19.b,19-Jul-2007.b,M,36,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.19.b-Miller.pdf
1134,AUSTRALIA,2007,2007.07.19.a,19-Jul-2007.a,M,15,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.19.a-Chapman.pdf
1135,USA,2007,2007.07.18.b,18-Jul-07,M,14,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.18.b-MattBaker.pdf
1136,NORWAY,2007,2007.07.18.a,18-Jul-07,M,48,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.18.a-Ingelbretsen.pdf
1137,USA,2007,2007.07.17.b,17-Jul-07,F,43,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.17.b-SusanLevy.pdf
1138,USA,2007,2007.07.17.a,17-Jul-07,F,30,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.17.a-NC.pdf
1139,BAHAMAS,2007,2007.07.10,10-Jul-07,F,48,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.10-Regan.pdf
1140,USA,2007,2007.07.05,05-Jul-07,M,18,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.05-Cecil.pdf
1141,REUNION,2007,2007.07.04,04-Jul-07,M,17,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.04-Bouju.pdf
1142,SENEGAL,2007,2007.07.00,Jul-07,,,UNKNOWN,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.07.00-Takyi.pdf
1143,USA,2007,2007.06.30.b,30-Jun-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.30.b-Gruber.pdf
1144,USA,2007,2007.06.30.a,30-Jun-07,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.30.a-Zinner.pdf
1145,USA,2007,2007.06.25,25-Jun-07,M,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.25-JustinLewis.pdf
1146,USA,2007,2007.06.24,24-Jun-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.24-Yamada.pdf
1147,USA,2007,2007.06.17,17-Jun-07,F,9,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.17-CaseySchmidt.pdf
1148,USA,2007,2007.06.12,12-Jun-07,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.12-Schaefer.pdf
1149,AUSTRALIA,2007,2007.06.05,05-Jun-07,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.06.05-JackMoir.pdf
1150,USA,2007,2007.05.26,26-May-07,F,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.26-Dornquast.pdf
1151,USA,2007,2007.05.24,24-May-07,F,40,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.24-Firchau.pdf
1152,ENGLAND,2007,2007.05.17.R,Reported 17-May-2007,M,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.17.R-PhilTanner.pdf
1153,AUSTRALIA,2007,2007.05.16,16-May-07,F,38,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.16-BeckyCooke.pdf
1154,AUSTRALIA,2007,2007.05.12,12-May-07,M,19,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.12-BlakeFrench.pdf
1155,USA,2007,2007.05.10,10-May-07,F,21,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.10-Manis.pdf
1156,SEYCHELLES,2007,2007.05.09.R,Reported 09-May-2007,M,,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.09.R-Seychelles.pdf
1157,AUSTRALIA,2007,2007.05.08,08-May-07,M,45,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.08-KingscliffBeach.pdf
1158,USA,2007,2007.05.07.b,07-May-07,F,63,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.07.b-PellerMarion.pdf
1159,USA,2007,2007.05.07.a,07-May-07,M,68,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.07.a-HansPruss.pdf
1160,TURKS & CAICOS,2007,2007.05.04,04-May-07,,,Y,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.04-HaitianRefugees.pdf
1161,BAHAMAS,2007,2007.05.00,May-07,F,20,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.05.00-Garcia.pdf
1162,AUSTRALIA,2007,2007.04.26,26-Apr-07,F,13,N,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.04.26-Lorraine.pdf
