original order,Year,Type,Country,Area,Activity,Sex,Age,Fatal (Y/N),Species ,Investigator or Source
1450.0,1937.0,Invalid,AUSTRALIA,Victoria,Swimming,M,43.0,,Other,"Canberra Times, 3/10/1937;Sydney Morning Herald, 3/10/1937; Whitley, p.264"
1451.0,1937.0,Invalid,AUSTRALIA,New South Wales,Bathing,M,16.0,,Other,"Canberra Times, 3/29/1937, p.1"
1452.0,1937.0,Unprovoked,AUSTRALIA,Queensland,Other,M,33.0,Y,shark,"V.M. Coppleson (1958), pp.90 & 238"
1453.0,1937.0,Provoked,USA,Texas,Fishing,M,,N,shark,"Galveston Daily News, 6/1/1937"
1454.0,1937.0,Unprovoked,USA,Texas,Swimming,M,14.0,Y,Other,"Amarillo Globe, 6/16/1937 "
1455.0,1937.0,Provoked,AUSTRALIA,New South Wales,Fishing,M,,N,shark,"Sydney Morning Herald, 6/19/1937; V.M. Coppleson (1958) (in text); SAF Cases #549 & 550"
1456.0,1937.0,Unprovoked,GREECE,,Other,unknown,,Y,Other,C. Moore. GSAF
1457.0,1937.0,Invalid,ITALY,Liguria,Other,unknown,,,Other,C. Moore. GSAF
1458.0,1937.0,Unprovoked,AUSTRALIA,Northern Territory,Pearl diving,M,,Y,Other,"Mansfield News-Journal, 7/16/1937, p.11"
1459.0,1937.0,Unprovoked,PANAMA,Colon Province,Swimming,M,21.0,Y,Other,"The Gleaner, 8/12/1937"
1460.0,1937.0,Invalid,TURKEY,,Swimming,M,,,Other,C. Moore. GSAF
1461.0,1937.0,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,38.0,N,shark,"The Maitland Daily Mercury, 8/31/1937"
1462.0,1937.0,Unprovoked,SCOTLAND,Argyll,Rowing,M,,N,shark,"Times (London), 9/2/1937; Fairfax, pp. 66-67"
1463.0,1937.0,Boating,SCOTLAND,Arran,Fishing,unknown,,N,shark,"Times (London), 9/13/1937; C. Creswell, GSAF"
1464.0,1937.0,Boating,SCOTLAND,Argyllshire,Other,unknown,,N,shark,Daily Mail (undated clipping); A Buttigieg 
1465.0,1937.0,Provoked,CROATIA, Split-Dalmatia County,Fishing,M,,N,Other,"C. Moore, GSAF"
1466.0,1937.0,Unprovoked,AUSTRALIA,New South Wales,Surf skiing,M,,N,shark,"The Age, 10/25/1937; V.M. Coppleson (1958), p.234"
1467.0,1937.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,16.0,N,shark,"The Age, 10/25/1937; V.M. Coppleson (1958), p.234"
1468.0,1937.0,Unprovoked,AUSTRALIA,Queensland,Swimming,M,18.0,Y,shark,"V.M. Coppleson, pp.51, 81-84 & 234;  A. Sharpe, pp.94-96; H. Edwards, pp.114-115  "
1469.0,1937.0,Unprovoked,AUSTRALIA,Queensland ,Swimming,M,25.0,Y,shark,"J. Green; V.M. Coppleson, pp.51, 81-84 & 234; A. Sharpe, pp.94-9 6; H. Edwards, pp.114-115"
1470.0,1937.0,Sea Disaster,SOLOMON ISLANDS,,Other,M,,Y,Other,"The Argus, 11/6/1937"
1471.0,1937.0,Unprovoked,AUSTRALIA,Torres Strait ,Diving,M,17.0,Y,shark,"J. Green, p.33; V.M. Coppleson  (1958), p.244"
1472.0,1937.0,Sea Disaster,USA,North Carolina,Other,M,,Y,Other,"Stevens Point Journal, 11/15/1937; TIME, 11/22/1937; Life Magazine, 11/29/1937"
1473.0,1938.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,,N,Other,H. Greenwood
1474.0,1938.0,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,17.0,N,Other,"V.M. Coppleson (1958), p.245"
1475.0,1938.0,Provoked,USA,North Carolina,Fishing,M,,N,Other,"C. Creswell, GSAF; J. Hair, p.27"
1476.0,1938.0,Unprovoked,TRINIDAD & TOBAGO,Trinidad,Body surfing,M,50.0,N,colored shark,"E. Pace, FSAF"
1477.0,1938.0,Unprovoked,EGYPT,,Sponge diving,M,,Y,Other,"C. Moore, GSAF"
1478.0,1938.0,Unprovoked,AUSTRALIA,New South Wales,Surf skiing,M,,N,Other,"Sydney Morning Herald, 1/3/1938;  J. Green, p.33; V.M. Coppleson (1958), p.42 NOTE: Coppleson gives date as January 1937"
1479.0,1938.0,Invalid,AUSTRALIA,New South Wales,Diving,M,24.0,,Other,"The Canberra Times, 1/15/1938"
1480.0,1938.0,Provoked,SOUTH AFRICA,KwaZulu-Natal,Other,M,13.0,N,Other,"M. Levine, GSAF"
1481.0,1938.0,Provoked,AUSTRALIA,New South Wales,Fishing,M,,N,shark,"Courier-Mail, 1/22/1938; Sydney Morning Herald 1/26/1938; Whitley, p.264"
1482.0,1938.0,Unprovoked,AUSTRALIA,Northern Territory,Other,M,,N,Other,"V.M. Coppleson  (1958) (in text); Sydney Morning Herald, 3/16/1938"
1483.0,1938.0,Unprovoked,FIJI,Viti Levu,Wading,M,,N,Other,"Time Magazine, 3/21/1938"
1484.0,1938.0,Unprovoked,INDIA,West Bengal,Bathing,unknown,,Y,Other,"The Times (London), 5/2/1938, p.15"
1485.0,1938.0,Unprovoked,IRAQ,Basrah City,Swimming,M,,N,shark,B.W. Coad & L.A.J. Al-Hassan
1486.0,1938.0,Unprovoked,COSTA RICA,Nicoya Peninsula,Fishing,M,,Y,Other,"V.M. Coppleson  (1958), p.259 "
1487.0,1938.0,Unprovoked,AUSTRALIA,New South Wales,Other,M,,N,shark,"The Canberra Times, 6/10/1938"
1488.0,1938.0,Unprovoked,NICARAGUA,Lower San Juan River,Other,unknown,,Y,bull shark,"NY Times; L. Schultz & M. Malin, p.558"
1489.0,1938.0,Unprovoked,AUSTRALIA,Torres Strait,Other,M,25.0,Y,Other,"G.P. Whitley, p.264; V.M. Coppleson  (1958), p.244; Sydney Morning Herald, 7/12/1938"
1490.0,1938.0,Provoked,USA,California,Fishing,M,27.0,N,Other,"L.A. Times, 7/18/1938 "
1491.0,1938.0,Provoked,TURKEY,,Fishing,M,,N,Other,"C. Moore, GSAF"
1492.0,1938.0,Unprovoked,USA,South Carolina,Swimming,M,,N,Other,"Kingsport Times, 7/18/1938"
1493.0,1938.0,Provoked,USA,California,Fishing,M,,N,Other,"Washington Post. 8/19/1938, p.24"
1494.0,1938.0,Unprovoked,CHINA,North China,Swimming,M,,Y,Other,"New York Times (William Baker), 8/30/1938; [SAF Case #934]; V.M. Coppleson  (1958), p.257; A. MacCormick, p.134"
1495.0,1938.0,Provoked,AUSTRALIA,Queensland,Fishing,M,18.0,N,shark,"Cairns Post, 10/6/1938"
1496.0,1938.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,19.0,Y,Other,"G.P. Whitley, p.264"
1497.0,1939.0,Unprovoked,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Swimming,M,,Y,Other,"A. Bleakley;  A. M. Rapson, p.148"
1498.0,1939.0,Unprovoked,CURACAO,Ascension Bay,Diving,M,,N,shark,"H. Hass in Diving To Adventure, p.169"
1499.0,1939.0,Unprovoked,VENEZUELA,Carabobo,Bathing,M,,Y,Other,H.E. Iverson
1500.0,1939.0,Boating,BAHAMAS,Andros Islands,Fishing,unknown,,N,shark,E.R.F. Johnson
1501.0,1939.0,Sea Disaster,SRI LANKA,,Other,F,,N,Other,"V.M. Coppleson (1962), p.258"
1502.0,1939.0,Unprovoked,AUSTRALIA,New South Wales,Other,M,,N,shark,"G.P. Whitley, p.264"
1503.0,1939.0,Provoked,NEW ZEALAND,North Island,Fishing,M,,N,shark,"Auckland Star, 2/28/1939"
1504.0,1939.0,Unprovoked,INDIA,Tamil Nadu,Swimming,M,,Y,Other,S. Munusamy
1505.0,1939.0,Unprovoked,PAPUA NEW GUINEA,Central Province,Other,M,,Y,large shark,"The Papuan Villager, March 1939; G.P. Whitley, p.21"
1506.0,1939.0,Unprovoked,PAPUA NEW GUINEA,Morobe Province,Other,M,,Y,Other,"Cairns Post, 4/12/1939"
1507.0,1939.0,Unprovoked,USA,Virginia,Other,M,,Y,Other,"L.A. Times, 5/7/1939; NY Times, 5/8/1939, p.18, col.1; V.M. Coppleson , p.253"
1508.0,1939.0,Provoked,USA,Texas,Other,M,,N,shark,"Galveston Daily News, 7/20/1939, p.4"
1509.0,1939.0,Provoked,BAHAMAS,Andros Islands,Other,M,38.0,N,shark,"Evening Sun (Baltimore), 7/31/1939; E.R.F. Johnson"
1510.0,1939.0,Sea Disaster,PACIFIC OCEAN,,Other,unknown,,Y,Other,"Syracuse Herald, 7/30/1939"
1511.0,1939.0,Provoked,USA,California,Fishing,M,33.0,N,Other,"L.A. Times, 8/11/1939"
1512.0,1939.0,Unprovoked,AUSTRALIA,Torres Strait ,Pearl diving,M,,N,shark,"Cairns Post, 9/27/1939"
1513.0,1939.0,Unprovoked,USA,Hawaii,Spearfishing,M,,N,shark,"G.H. Balazs & A.K.H. Kam; J. Borg, p.71; V.M. Coppleson (1962), p.253"
1514.0,1939.0,Unprovoked,AUSTRALIA,Queensland,Free diving,M,27.0,N,shark,"G.P. Whitley, p. 20; V.M. Coppleson  (1958), p. 99"
1515.0,1939.0,Unprovoked,SAMOA,,Fishing,M,,Y,Other,"Canberra Times, 11/2/1939"
1516.0,1939.0,Boating,AUSTRALIA,New South Wales,Other,unknown,,UNKNOWN,Other,"G.P. Whitley, p.264"
1517.0,1939.0,Boating,AUSTRALIA,New South Wales,Other,unknown,,UNKNOWN,Other,"G.P. Whitley, p.264"
1518.0,1939.0,Provoked,AUSTRALIA,New South Wales,Other,unknown,,N,whaler shark,"G.P. Whitley, p.264"
1519.0,1939.0,Boating,AUSTRALIA,New South Wales,Other,unknown,,N,Other,"Northern Miner, 11/25/1939"
1520.0,1939.0,Unprovoked,AUSTRALIA,Queensland,Swimming,M,20.0,Y,shark,"Sydney Morning Herald, 12/15/1939; V.M. Coppleson (1958), p.238 "
1521.0,1939.0,Invalid,AUSTRALIA,New South Wales,Swimming,M,40.0,,shark,"V.M. Coppleson (1958), pp.44 & 234; SAF Case #39"
1522.0,1940.0,Invalid,SOUTH AFRICA,Eastern Cape Province,Standing,F,,,Other,"E. Skaife, V. M. Coppleson (1958), p.247;  M. Levine, GSAF"
1523.0,1940.0,Invalid,SOUTH AFRICA,KwaZulu-Natal,Other,F,,,Other,"V.M. Coppleson (1958), p.247; SAF Case #161. Unable to authenticate this incident in local records or press reports."
1524.0,1940.0,Invalid,SOUTH AFRICA,Eastern Cape Province,Swimming,unknown,,,Other,"D. Davies, p. 102"
1525.0,1940.0,Unprovoked,PAPUA NEW GUINEA,Western Papuan Gulf,Other,unknown,,N,Other,"Papuan Villager, 11/1940"
1526.0,1940.0,Unprovoked,NEW GUINEA,Bwagaoia,Other,F,,Y,Other,"A. Bleakley;  A. M. Rapson, p.148"
1527.0,1940.0,Boating,SLOVENIA,Adriatic Sea,Boating,unknown,,N,shark,A. De Maddalena; M. Zuffa (pers. Comm.)
1528.0,1940.0,Unprovoked,AUSTRALIA,Queensland,Diving,M,,N,Other,"J. Green, p.33; V.M. Coppleson (1958), p.245"
1529.0,1940.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,18.0,Y,shark,"R. Guy, T. Jucker & M. Levine, GSAF  "
1530.0,1940.0,Unprovoked,AUSTRALIA,Queensland,Swimming,M,22.0,N,Other,"V.M. Coppleson (1958), pp. 93 & 238"
1531.0,1940.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,13.0,Y,shark,"V.M. Coppleson (1958), p.69; A. Sharpe, pp.65-66"
1532.0,1940.0,Unprovoked,AUSTRALIA,Queensland,Other,M,17.0,N,small shark,"Morning Bulletin, 1/30/1929"
1533.0,1940.0,Unprovoked,AUSTRALIA,New South Wales,Wading,M,55.0,Y,Other,"V.M. Coppleson (1958), p.69; A. Sharpe, p.66"
1534.0,1940.0,Boating,AUSTRALIA,New South Wales,Canoeing,unknown,,N,Other,"G.P. Whitley, p.265"
1535.0,1940.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,17.0,Y,shark,"H. Robson, M. Levine, GSAF "
1536.0,1940.0,Unprovoked,AUSTRALIA,New South Wales,Free diving,M,,N,shark,"Sydney Morning Herald, 3/21/1940; V.M. Coppleson (1962), p.251"
1537.0,1940.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,M,25.0,Y,shark,"G. Cawston;  H. Robson, M. Levine, GSAF"
1538.0,1940.0,Unprovoked,USA,North Carolina,Fishing,M,,N,shark,"C. Creswell, GSAF; F. Schwartz, p.23"
1539.0,1940.0,Unprovoked,USA,South Carolina,Standing,M,,N,Other,"V.M. Coppleson (1958), p.253 "
1540.0,1940.0,Unprovoked,USA,South Carolina,Standing,M,,N,Other,"V.M. Coppleson (1958), p.253"
1541.0,1940.0,Unprovoked,PANAMA,Panama Bay (Pacific Ocean),Bathing,M,18.0,Y,shark,"V.M. Coppleson (1958), p.263"
1542.0,1940.0,Provoked,AUSTRALIA,Northern Territory,Other,M,,N,Other,"V.M. Coppleson; G.P. Whitley (1951), p. 192"
1543.0,1940.0,Unprovoked,AUSTRALIA,Queensland,Fishing,M,,N,Other,"Soda Springs Sun, 12/19/1940"
1544.0,1940.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,17.0,Y,Other,"R. Kahn, M. Levine, GSAF"
1545.0,1940.0,Unprovoked,AUSTRALIA,New South Wales,Standing,M,23.0,Y,Other,"J. Green, p.33; V.M. Coppleson (1958), p.235;  G.P. Whitley (1951), p. 192"
1546.0,1941.0,Unprovoked,PAPUA NEW GUINEA,,Other,M,14.0,N,Other,"V.M. Coppleson (1962), p.248"
1547.0,1941.0,Unprovoked,IRAN,Khuzestan Province,Standing,M,,Y,Other,"Lt.Col. R.S. Hunt, p.80"
1548.0,1941.0,Unprovoked,IRAN,Khuzestan Province,Other,M,,Y,Other,"Lt.Col. R.S. Hunt, p.80"
1549.0,1941.0,Unprovoked,IRAN,Khuzestan Province,Other,M,,N,Other,"Lt. Col. R. S. Hunt, p.80"
1550.0,1941.0,Unprovoked,IRAN,Khuzestan Province,Other,M,,Y,Other,"Lt. Col. R. S. Hunt, pp.81-82"
1551.0,1941.0,Unprovoked,IRAN,Khuzestan Province,Standing,M,,Y,Other,"Lt. Col. R. S. Hunt, pp.80-81"
1552.0,1941.0,Unprovoked,SOLOMON ISLANDS,New Georgia,Floating,M,,N,Other,"Chapman, p.182"
1553.0,1941.0,Sea Disaster,ATLANTIC OCEAN,,Other,M,,Y,Other,Lethbridge Herald. 11/17/1941
1554.0,1941.0,Unprovoked,SOUTH ATLANTIC OCEAN,In Convoy OB 274,Other,M,19.0,N,Other,"The London Gazette, 7/8/1941"
1555.0,1941.0,Provoked,JAMAICA,Trelawney Province,Other,M,,N,Other,"Daily Gleaner, 2/3/1941, p. 1"
1556.0,1941.0,Provoked,AUSTRALIA,New South Wales,Fishing,M,34.0,N,Other,"Canberra Times, 2/18/1941, p.4"
1557.0,1941.0,Provoked,USA,California,Fishing,M,53.0,N,shark,Press clipping dated 3/11/1941
1558.0,1941.0,Sea Disaster,SOUTH ATLANTIC OCEAN,,Other,M,,N,Other,"NY Times, 4/4/1941 
"
1559.0,1941.0,Sea Disaster,PACIFIC OCEAN,Off coast of Ecuador,Other,M,,Y,Other,"G.A. Llano in Airmen Against the Sea, pp.67-68; V.M. Coppleson (1962), p.257; A. Sharpe, pp.43-44; SAF Case #740"
1560.0,1941.0,Provoked,USA,New York,Fishing,M,43.0,N,shark,"New York Times, 6/16/1941; V.M. Coppleson (1958)"
1561.0,1941.0,Provoked,USA,Hawaii,Fishing,M,,N,shark,"G.H. Balazs & A.K.H. Kam; J. Borg, p.71; L. Taylor (1993), pp.98-99"
1562.0,1941.0,Boating,USA,New Jersey,Fishing,unknown,,N,shark,"N.Y Times, 7/23/1941; SAF Case  #951"
1563.0,1941.0,Unprovoked,USA,South Carolina,Swimming,M,20.0,N,Other,"V.M. Coppleson (1958), p.153; T. Helm, p.226; NY Times, 8/3/1941, p.28"
1564.0,1941.0,Invalid,AUSTRALIA,New South Wales,Swimming,M,,,Other,"Canberra Times, 8/6/1941"
1565.0,1941.0,Provoked,USA,New York,Fishing,unknown,,N,Other,"New York Times, 8/21/1941"
1566.0,1941.0,Unprovoked,CARIBBEAN SEA,,Other,M,,Y,Other,Washington Post. 10/2/1941
1567.0,1941.0,Sea Disaster,AUSTRALIA,Western Australia,Other,M,,N,Other,"Canberra Times, 12/4/1941"
1568.0,1941.0,Sea Disaster,SOUTH ATLANTIC OCEAN,"North of Pernambuco, Brazil",Other,unknown,,Y,Other,GSAF
1569.0,1941.0,Sea Disaster,SOUTH ATLANTIC OCEAN,Off Libya,Other,M,,N,shark,"Canberra Times, 12/3/1941"
1570.0,1941.0,Sea Disaster,SOUTH ATLANTIC OCEAN,Off Libya,Other,M,23.0,N,shark,"Canberra Times, 12/3/1941"
1571.0,1941.0,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,10.0,N,Other,"The West Australian, 12/11/1941"
1572.0,1941.0,Sea Disaster,SOUTH ATLANTIC OCEAN,,Other,unknown,,Y,tiger shark,"F. Dennis, pp. 19-20; A. Resciniti, p.90"
1573.0,1942.0,Unprovoked,PANAMA,Panama City,Swimming,M,,Y,Other,V.M. Coppleson (1958)
1574.0,1942.0,Boating,,,Other,M,,N,Other,"V.M. Coppleson (1962), p.206"
1575.0,1942.0,Sea Disaster,SOUTHWEST PACIFIC OCEAN,,Other,M,,N,tiger shark,"V.M. Coppleson (1962), p.258"
1576.0,1942.0,Sea Disaster,MID-PACIFC OCEAN,(Southwestern Pacific),Other,M,,N,Other,"V.M. Coppleson (1962), p.258"
1577.0,1942.0,Sea Disaster,,,Other,M,,Y,Other,"V.M. Coppleson (1962), p.258"
1578.0,1942.0,Unprovoked,BAHAMAS,Cay Sal Bank,Swimming,M,48.0,N,shark,H.J. Mann
1579.0,1942.0,Boating,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,shark,"T. Wallett, p.27"
1580.0,1942.0,Boating,SOUTH AFRICA,Western Cape Province,Other,unknown,,N,Other,"T. Wallett, p.27"
1581.0,1942.0,Unprovoked,PHILIPPINES,Camiguin Island,Sailing,M,,Y,Other,V. Obedencio
1582.0,1942.0,Boating,AUSTRALIA,Tasmania,Fishing,M,,N,Other,"C. Black, GSAF"
1583.0,1942.0,Sea Disaster,INDONESIA,East Java,Other,M,,Y,Other,G. Duncan
1584.0,1942.0,Provoked,AUSTRALIA,New South Wales,Surf-skiing,M,,N,shark,"V.M. Coppleson (1958), p.41"
1585.0,1942.0,Unprovoked,AUSTRALIA,New South Wales,Swimming,F,28.0,Y,shark,"V.M. Coppleson (1958), p.70; A. Sharpe, p.72; A. MacCormick, pp.34-35"
1586.0,1942.0,Boating,AUSTRALIA,New South Wales,Other,unknown,,N,Other,"G.P. Whitley (1951), p. 192 "
1587.0,1942.0,Invalid,AUSTRALIA,New South Wales,Other,M,18.0,,Other,"G.P. Whitley (1951), p. 192, cites Sun (Sydney), 3/27/1942; J. Green, p.34"
1588.0,1942.0,Sea Disaster,CUBA,Guantanamo Province,Other,M,,Y,Other,"Baltimore Evening Sun, 4/13/1942"
1589.0,1942.0,Invalid,INDIAN OCEAN,West of Ceylon (Sri  Lanka),Other,unknown,,,Other,"V.M. Coppleson (1962), p.218"
1590.0,1942.0,Unprovoked,AUSTRALIA,Queensland,Diving,M,,N,Other,"V.M. Coppleson (1958), p.245"
1591.0,1942.0,Unprovoked,,300 miles east of St. Thomas (Virgin Islands),Other,M,,N,Other,"V.M. Coppleson (1962), p.258"
1592.0,1942.0,Unprovoked,USA,Midway Atoll,Other,M,,N,Other,"Evening Standard, 7/16/1942"
1593.0,1942.0,Invalid,BRAZIL,,Other,M,,,Other,"Time Magazine, 6/8/1942"
1594.0,1942.0,Sea Disaster,BAY OF BENGAL,,Other,M,,Y,Other,"Canberra Times, 6/11/1942"
1595.0,1942.0,Provoked,ITALY,Liguria,Other,M,20.0,N,shark,"C. Moore, GSAF"
1596.0,1942.0,Sea Disaster,ATLANTIC OCEAN,,Other,M,32.0,Y,Other,"Kingsport Times, 8/6/1942, et al"
1597.0,1942.0,Sea Disaster,SOLOMON ISLANDS,,Other,M,,N,Other,"Appleton Post-Crescent, 4/18/1964"
1598.0,1942.0,Sea Disaster,SOUTHWEST PACIFIC OCEAN,,Other,M,,Y,shark,SAF Case #741
1599.0,1942.0,Unprovoked,AUSTRALIA,Queensland,Treading water,M,24.0,N,shark,"A Wearne, J. Green, pp.44-50; G.P. Whitley (1951), p. 193, cites Sydney Morning Herald, 8/11/1943;  V.M. Coppleson (1958), pp.87 & 238"
1600.0,1942.0,Sea Disaster,ATLANTIC OCEAN,,Other,M,,N,Other,"V.M. Coppleson (1962), p.258; Rohwer, pp.122 & 352"
1601.0,1942.0,Sea Disaster,ATLANTIC OCEAN,04.05N-13.23W,Other,unknown,,N,Other,"V.M. Coppleson (1962), p.208"
1602.0,1942.0,Sea Disaster,SOLOMON ISLANDS,Makora-Ulawa Province,Other,M,25.0,N,Other,"W. L. Jones, M.D.; Saturday Evening Post; V.M. Coppleson (1958),  p.199"
1603.0,1942.0,Sea Disaster,,Off South American coast,Other,M,,Y,Other,"M.  Murphy; V.M. Coppleson (1962), pp.207-208"
1604.0,1942.0,Provoked,PACIFIC OCEAN,Between Hawaii and U.S.A.,Other,M,,N,Other,"V.M. Coppleson (1962), p.257"
1605.0,1942.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,18.0,Y,shark,"Natal Daily News, 11/28/1942, M. Levine, GSAF; T. Wallett, p.42  "
1606.0,1942.0,Sea Disaster,SOLOMON ISLANDS,,Other,M,,Y,Other,"C. Cromie, Chicago Tribune, 12/5/1942"
1607.0,1942.0,Sea Disaster,SOLOMON ISLANDS / VANUATU,,Other,M,,Y,Other,US Navy Military History
1608.0,1942.0,Sea Disaster,SOLOMON ISLANDS,,Other,M,,N,Other,Memoirs of Sam Hicks
1609.0,1942.0,Sea Disaster,INDIAN OCEAN,,Other,M,,Y,Other,"Coppleson (1962), pp.207 & 258 "
1610.0,1942.0,Sea Disaster,SOLOMON ISLANDS,,Other,M,19.0,N,Other,"Lima News, 7/13/1944"
1611.0,1942.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,38.0,N,Other,"M. Levine,GSAF "
1612.0,1942.0,Sea Disaster,SOUTH AFRICA,KwaZulu-Natal,Other,M,,Y,whitetip shark,"L. de Lease; M. Levine, GSAF"
1613.0,1942.0,Unprovoked,AUSTRALIA,New South Wales,Other,F,15.0,Y,shark,"G.P. Whitley (1951), p. 193; V.M. Coppleson (1958), p.70; A. Sharpe, pp.72-73; A. MacCormick, pp.34-35"
1614.0,1943.0,Unprovoked,USA,Hawaii,Other,M,,UNKNOWN,Other,"G.H. Balazs & A.K.H. Kam; J. Borg, p.72; L. Taylor (1993), pp.98-99"
1615.0,1943.0,Unprovoked,USA,Hawaii,Spearfishing,M,,N,small shark,W. M. Chapman
1616.0,1943.0,Unprovoked,USA,Hawaii,Spearfishing,M,,N,small shark,W. M. Chapman
1617.0,1943.0,Unprovoked,IRAQ,,Swimming,M,22.0,N,Other,"Times of India, 8/19/2001"
1618.0,1943.0,Unprovoked,SOLOMON ISLANDS,,Swimming,M,,N,Other,J. Lawton Collins
1619.0,1943.0,Unprovoked,MEXICO,Veracruz,Swimming,unknown,,Y,Other,C.G. Robles
1620.0,1943.0,Sea Disaster,PACIFIC OCEAN,Northwest of Papua New Guinea,Other,M,,Y,Other,Naval Historical Center
1621.0,1943.0,Sea Disaster,PAPUA NEW GUINEA,Morobe Province,Other,unknown,,Y,Other,"G. Duncan, et al"
1622.0,1943.0,Sea Disaster,BRAZIL,,Other,unknown,,Y,Other,"New York Times, 3/20/1943;  Axis submarine losses in WWII"
1623.0,1943.0,Sea Disaster,SIERRA LEONE,,Other,unknown,,Y,Other,Greatships.net
1624.0,1943.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,31.0,Y,Other,"M. Levine, GSAF"
1625.0,1943.0,Invalid,USA,Hawaii,Other,M,,,Other,"Honolulu Advertiser, 8/9/1953; V.M. Coppleson (1958); J. Borg, p. 71; SAF Case #292"
1626.0,1943.0,Sea Disaster,INDIAN OCEAN,,Other,M,,N,shark,"St. Petersburg Times, 5/1/1943"
1627.0,1943.0,Sea Disaster,AUSTRALIA,Queensland,Other,M,,Y,Other,"The Age, 5/19/1953"
1628.0,1943.0,Sea Disaster,CENTRAL PACIFIC,,Other,M,,Y,Other,"V.M. Coppleson (1962), p.217; G.A. Llano in Airmen Against the Sea, p.67"
1629.0,1943.0,Sea Disaster,CENTRAL PACIFIC,,Other,M,26.0,N,Other,"W.L. Jones; V.M. Coppleson (1962), p.217; G.A. Llano in Airmen Against the Sea, p.67"
1630.0,1943.0,Invalid,PACIFIC OCEAN,,Other,M,,,Other,G.A. Llano
1631.0,1943.0,Boating,AUSTRALIA,Tasmania,Fishing,M,18.0,N,shark,"C. Black, GSAF"
1632.0,1943.0,Invalid,MEXICO,Veracruz,Swimming,M,68.0,,Other,C.G. Robles; SAF Case #1327 
1633.0,1943.0,Boating,PORTUGAL,,Fishing,unknown,,N,Other,Letter dated 8/31/1959 from A. Cordeiro
1634.0,1943.0,Sea Disaster,USA,Florida,Treading water,M,,Y,Other,Wikipedia
1635.0,1943.0,Sea Disaster,ITALY,40 miles south of Naples ,Other,M,,N,Other,New York Times  8/9/1943
1636.0,1943.0,Unprovoked,PANAMA,Gulf of Panama,Other,M,20.0,Y,shark,Captain B. H. Kean
1637.0,1943.0,Invalid,USA,Florida,Other,M,,,Other,"R.F. Hutton (1959); D. Baldridge, p.171; T. Helm, p.226; SAF Case #624"
1638.0,1943.0,Sea Disaster,PACIFIC OCEAN,Near the Fiji Islands,Other,M,,Y,Other,"M. McDiarmid, p.67"
1639.0,1943.0,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming,M,,N,Other,"M. Levine, GSAF"
1640.0,1943.0,Sea Disaster,USA,South Carolina,Other,M,,Y,Other,"Troy Record, 12/13/1943; J. Rohwer, p.175"
1641.0,1943.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,M,17.0,Y,Other,"R. Kahn, M. Levine, GSAF; Natal Mercury 1/21/1944"
1642.0,1944.0,Unprovoked,NEW GUINEA,Pacific Ocean,Fell overboard,M,,Y,Other,GSAF
1643.0,1944.0,Sea Disaster,ITALY,Adriatic Sea,Other,M,,Y,Other,GSAF
1644.0,1944.0,Sea Disaster,SOUTH PACIFIC OCEAN,,Other,M,,Y,Other,"TIME, 7/29/1946"
1645.0,1944.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Swimming,M,26.0,Y,Other,"M. Selby, M. Levine, GSAF "
1646.0,1944.0,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,14.0,N,Other,"G.P. Whitley (1951), p.193, cites Daily Mirror (Sydney) 1/18/1944; V.M. Coppleson (1958), p.84"
1647.0,1944.0,Boating,AUSTRALIA,Western Australia,Fishing,M,,N,shark,"Canberra Times, 1/17/1944"
1648.0,1944.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Body surfing,M,22.0,Y,Other,"M. Levine, GSAF"
1649.0,1944.0,Unprovoked,INDIA,,Bathing,M,12.0,Y,Other,"Indian Express, 2/19/1944"
1650.0,1944.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Treading water,M,,N,shark,"L. Green; M. Levine, GSAF"
1651.0,1944.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Treading water,M,16.0,N,Other,"R.D. Field, M. Levine, GSAF "
1652.0,1944.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Standing,M,23.0,Y,Other,"G. Botha, M. Levine, GSAF "
