Case Number,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Species ,Investigator or Source,Date,Year
2009.10.24,Unprovoked,USA,California,"San Onofre, San Diego County ",surfing,M,Unknown,N,unknown,R. Collier,2009-10-24,2009.0
2009.10.19,Unprovoked,USA,Hawaii,"Kalama Park, Maui",surfing,M,54,N,unknown,"Star Bulletin, 10/19/2009",2009-10-19,2009.0
2009.10.18,Unprovoked,PANAMA,Bocas,Playa La Cabaña ,wading,F,10,N,unknown,A. Blaker,2009-10-18,2009.0
2009.10.17,Provoked,SCOTLAND,Fife,Deep Sea World Aquarium,diving,M,23,N,unknown,"Telegraph.co.uk, 10/18/2009",2009-10-17,2009.0
2009.10.14.R,Unprovoked,AUSTRALIA,Western Australia,Unknown,diving,M,23,N,bull shark,"BBC News, 10/19/2009",2009-10-14,2009.0
2009.10.09,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",surfing,M,Unknown,N,unknown,R. Collier,2009-10-09,2009.0
2009.10.02,Provoked,UNITED KINGDOM,Devon,Mewstone Rock,fishing,M,39,N,unknown,"The Herald, 10/2/2009",2009-10-02,2009.0
2009.09.26,Unprovoked,USA,Florida,"Key Colony Beach, Monroe County",swimming,M,Unknown,N,bull shark,keysnet.com,2009-09-26,2009.0
2009.09.18,Unprovoked,VIETNAM,Unknown,Unknown,unknown,M,Unknown,N,unknown,"H. Trong &                 U. Phuong,.Saigon Daily, 1/13/2010",2009-09-18,2009.0
2009.09.15,Provoked,SOMALIA,Unknown,300 miles off the coast ,fishing,M,Unknown,N,unknown,"SMCM, 9/20/2009",2009-09-15,2009.0
2009.09.13,Provoked,BRAZIL,Pernambuco,"Piedade, Recife",unknown,M,34,Y,unknown,"C. Ekstander, GSAF",2009-09-13,2009.0
2009.09.12,Invalid,USA,North Carolina,"Corolla, Currituck County",swimming,M,60,Y,unknown,"C. Creswell, GSAF  ",2009-09-12,2009.0
2009.09.07,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",swimming,M,15,Y,unknown,"C. Eksander, GSAF",2009-09-07,2009.0
2009.09.02,Invalid,NEVIS,Unknown,Castle Beach,swimming,M,Unknown,Unknown,unknown,Dr. C. Jacobs; J. Daniel,2009-09-02,2009.0
2009.09.01,Provoked,SOLOMON ISLANDS,Makira-Ulawa Province,"Kirakira, Makira Island (formerly San Cristobal)",fishing,M,Unknown,N,unknown,"Solomon Star, 9/4/2009",2009-09-01,2009.0
2009.08.30,Unprovoked,USA,California,"Huntington Beach, Orange County",surfing,M,Unknown,N,unknown,"R. Collier, GSAF",2009-08-30,2009.0
2009.08.29,Unprovoked,SOUTH AFRICA,Western Cape Province,Glentana,surfing,M,25,Y,white shark,"Cape Argus, 8/30/2009, p.1",2009-08-29,2009.0
2009.08.25,Unprovoked,USA,California,"Terramar Beach, Carlsbad, San Diego County",swimming,F,22,N,white shark,"R. Collier, GSAF",2009-08-25,2009.0
2009.08.11,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Alkantstrand ,boarding,M,Unknown,N,white shark,Zululand Observer,2009-08-11,2009.0
2009.08.10,Unprovoked,USA,Florida,"Ponce, Volusia County",swimming,M,26,N,unknown,S. Petersohn,2009-08-10,2009.0
2009.08.06,Unprovoked,USA,Hawaii,Kawa'a ,surfing,M,Unknown,N,tiger shark,"Big Island Weekly, 8/19/2009",2009-08-06,2009.0
2009.08.01,Unprovoked,USA,Louisiana,"Curlew Island, Breton Sound",fishing,M,56,N,bull shark,Clarion Ledger,2009-08-01,2009.0
2009.07.31,Unprovoked,BAHAMAS,Abaco Islands,Spanish Cay,spearfishing,M,14,N,bull shark,WPTV.com,2009-07-31,2009.0
2009.07.30,Unprovoked,AUSTRALIA,New South Wales,Broken Head,surfing,M,14,N,unknown,"Lismore Northern Star, 7/31/2009",2009-07-30,2009.0
2009.07.29,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,swimming,F,41,N,unknown,"CandOnline, 1/15/2020",2009-07-29,2009.0
2009.07.24.R,Unprovoked,KENYA,Mombasa,Likoni Channel,unknown,M,Unknown,Y,unknown,"Standard Digital, 7/24/2009",2009-07-24,2009.0
2009.07.24.b,Unprovoked,USA,Texas,South Padre Island,wading,F,14,N,unknown,KRGV.com,2009-07-24,2009.0
2009.07.24.a,Invalid,SPAIN,Catalunya,Sant Salvador,swimming,F,11,Unknown,unknown,"ABC-Spain, 7/25/2009",2009-07-24,2009.0
2009.07.22.b,Unprovoked,USA,North Carolina,Holden Beach. Brunswick County,swimming,F,26,N,unknown,"C. Creswell, GSAF",2009-07-22,2009.0
2009.07.22.a,Unprovoked,USA,Florida,"Intracoastal Waterway,      St. Petersburg",swimming,F,19,N,unknown,"J. Eager; R. Reyes, Tampa Tribune, 7/22/2009",2009-07-22,2009.0
2009.07.18,Unprovoked,VIETNAM,Binh Dinh Province,Quy Nhon ,swimming,M,57,N,unknown,"C. Eksander, GSAF",2009-07-18,2009.0
2009.07.11.b,Provoked,BAHAMAS,Unknown,Unknown,spearfishing,M,Unknown,N,reef shark,"Fox News, 7/14/2009",2009-07-11,2009.0
2009.07.11.a,Unprovoked,USA,California,"San Onofre, San Diego County ",unknown,M,Unknown,N,unknown,R. Collier,2009-07-11,2009.0
2009.07.07,Unprovoked,SOUTH AFRICA,Western Cape Province,"Jogensfontein, Stilbaai",surfing,M,37,N,unknown,"Weekend Post, 7/8/2009",2009-07-07,2009.0
2009.07.05,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",boarding,F,12,N,unknown,S. Petersohn,2009-07-05,2009.0
2009.07.04,Provoked,USA,Florida,"Biscayne National Park, Miami",swimming,F,43,N,nurse shark,"Miami Herald, 7//4/2009",2009-07-04,2009.0
2009.06.27,Unprovoked,AUSTRALIA,New South Wales,"Seven Mile Beach, Gerroa",surfing,M,52,N,unknown,"Brisbane Times, 6/28/2009",2009-06-27,2009.0
2009.06.21,Invalid,USA,California,"Shell Beach, San Luis Obispo County",surfing,M,26,Unknown,unknown,"San Luis Obispo Tribune, 6/24/2009",2009-06-21,2009.0
2009.06.16,Invalid,USA,Florida,"Melbourne Beach, Brevard County",unknown,M,14,Unknown,unknown,"Florida Today, 1/17/2009",2009-06-16,2009.0
2009.06.14.R,Provoked,VIETNAM,Unknown,Unknown,fishing,M,Unknown,N,white shark,"Tin Tuc online, 6/14/2009",2009-06-14,2009.0
2009.06.02.b,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,diving,M,Unknown,N,unknown,"E. Ritter, GSAF",2009-06-02,2009.0
2009.06.02.a,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,diving,M,Unknown,N,unknown,"E. Ritter, GSAF",2009-06-02,2009.0
2009.06.01,Unprovoked,EGYPT,St. Johns Reef,Habili Gafar,snorkeling,F,50,Y,unknown,"A. Hamada; E.Ritter, GSAF",2009-06-01,2009.0
2009.05.31,Provoked,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13  ,fishing,M,46,N,unknown,"Taiwan News, 5/21/09",2009-05-31,2009.0
2009.05.25,Provoked,USA,Florida,"Clearwater Beach, Pinellas County",swimming,M,Unknown,N,unknown,"Tampa Bay online, 5/26/2009",2009-05-25,2009.0
2009.05.17,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,31,N,unknown,"S. Petersohn, GSAF",2009-05-17,2009.0
2009.05.16.b,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,49,N,unknown,"S. Petersohn, GSAF",2009-05-16,2009.0
2009.05.16.a,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,55,N,unknown,"S. Petersohn, GSAF",2009-05-16,2009.0
2009.05.12,Provoked,GUAM,North Region,Ritidian Point,spearfishing,M,27,N,blacktip shark,"N. Delgado, Pacific News Center; KUAM.com",2009-05-12,2009.0
2009.05.06,Provoked,BAHAMAS,Exuma Islands,Unknown,spearfishing,M,48,N,unknown,"Sun Sentinel, 5/8/2009",2009-05-06,2009.0
2009.04.28,Unprovoked,USA,Florida,"St. Augustine, St. John's County",unknown,F,Unknown,N,unknown,,2009-04-28,2009.0
2009.04.25.R,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",surfing,M,Unknown,N,unknown,"R. Collier, GSAF",2009-04-25,2009.0
2009.04.21,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,20,N,unknown,"S. Petersohn, GSAF",2009-04-21,2009.0
2009.04.20,Unprovoked,PHILIPPINES,Batangas province,Mabini,swimming,M,23,N,unknown,"Abs-cbnNEWS.com, 4/22/2009",2009-04-20,2009.0
2009.04.19,Unprovoked,USA,Florida,"Carlin Park, Jupiter Inlet",surfing,M,52,N,unknown,"UPI, 4/20/2009",2009-04-19,2009.0
2009.04.17.,Unprovoked,USA,Florida,"Walton Rocks, St Lucie County",surfing,M,31,N,unknown,"TC Palm, 4/17/09",2009-04-17,2009.0
2009.04.11,Invalid,USA,Hawaii,Kona,spearfishing,M,49,Unknown,unknown,"CBS, 4/14/2009",2009-04-11,2009.0
2009.04.12,Unprovoked,AUSTRALIA,New South Wales,Fingal Bay,skiing,M,40,N,unknown,"Port Stephens Examiner, 4/15/2009",2009-04-12,2009.0
2009.04.06.b,Invalid,SOUTH AFRICA,KwaZulu-Natal,Umtentweni,swimming,M,24,Unknown,unknown,"Daily Dispatch, 4/10/2009",2009-04-06,2009.0
2009.04.06.a,Unprovoked,USA,California,San Diego County,spearfishing,M,Unknown,N,white shark,R. Collier,2009-04-06,2009.0
2009.04.03,Unprovoked,USA,Florida,"Sanibel Island, Lee County",wading,M,15,N,unknown,"Cape Coral News, 4/3/2009",2009-04-03,2009.0
2009.03.27,Provoked,SOUTH AFRICA,Eastern Cape Province,2-3 km north of Sunday's River mouth,fishing,M,59,N,unknown,"The Herald (Port Elizabeth), 3/27/2007",2009-03-27,2009.0
2009.03.21,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",surfing,M,16,Y,unknown,"Daily Dispatch, 3/22/2009",2009-03-21,2009.0
2009.03.20,Unprovoked,AUSTRALIA,New South Wales,Blue Bay,surfing,M,17,N,whaler shark,"Madurah Mail, 3/26/2009",2009-03-20,2009.0
2009.03.19.b,Unprovoked,AUSTRALIA,New South Wales,South Broulee,surfing,M,Unknown,N,unknown,"ABC News, 3/19/2009",2009-03-19,2009.0
2009.03.19.a,Unprovoked,AUSTRALIA,New South Wales,Bateman's Bay,surfing,F,Unknown,N,unknown,"Canberra Times, 3/20/2009",2009-03-19,2009.0
2009.03.18.a,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,F,17,N,unknown,"S. Petersohn, GSAF",2009-03-18,2009.0
2009.03.17.R,Unprovoked,MALAYSIA,Strait of Malacca,Pulau Payar Island,unknown,F,Unknown,N,reef shark,"C. Johansson, GSAF",2009-03-17,2009.0
2009.03.17,Unprovoked,USA,Hawaii,Alenuihaha Channel,swimming,M,61,N,unknown,"B. Perry, Maui News, 3/18/2009",2009-03-17,2009.0
2009.03.16.R,Provoked,AUSTRALIA,Western Australia,"The Natural Jetty, Rottnest Island",wading,M,21,N,unknown,"The West, 3/16/2009",2009-03-16,2009.0
2009.03.06,Unprovoked,NEW CALEDONIA,South Province,Bourail,surfing,M,19,Y,unknown,"Les Nouvelles Caledoniennes, 3/7-10/2009",2009-03-06,2009.0
2009.03.02,Provoked,SOUTH AFRICA,Western Cape Province,Off Cape Point,fishing,M,40,N,unknown,"Cape Times, 3/3/2009",2009-03-02,2009.0
2009.03.01.b,Boating,NEW ZEALAND,North Island,Taranaki,fishing,M,Unknown,N,unknown,"Taranaki Daily News, 3/3/2009",2009-03-01,2009.0
2009.03.01.a,Unprovoked,AUSTRALIA,New South Wales,Avalon,surfing,M,15,N,unknown,"Sunday Telegraph, 3/1/2009",2009-03-01,2009.0
2009.02.22,Unprovoked,AUSTRALIA,Queensland,Batt Reef,fishing,M,Unknown,N,unknown,"The Australian, 2/22/2009",2009-02-22,2009.0
2009.02.18,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie",surfing,M,Unknown,N,unknown,"Daily Telegraph, 2/24/2009",2009-02-18,2009.0
2009.02.12,Unprovoked,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",surfing,M,33,N,white shark,The Sydney Morning Herald 2/24/2009,2009-02-12,2009.0
2009.02.11,Unprovoked,AUSTRALIA,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour",diving,M,31,N,bull shark,"ABC News, 2/11/2009",2009-02-11,2009.0
2009.02.08,Sea Disaster,USA,Puerto Rico,Quebradillas,unknown,M,Unknown,Y,unknown,"C. Ekstander, GSAF",2009-02-08,2009.0
2009.02.07.b,Unprovoked,AUSTRALIA,New South Wales,Cellito Beach,surfing,M,41,N,white shark,"D. Keg; Herald Sun, 2/8/2009",2009-02-07,2009.0
2009.02.07.a,Unprovoked,AUSTRALIA,New South Wales,Sandon,surfing,M,Unknown,N,unknown,"A. Vlastaras, Daily Examiner, 3/9/2009",2009-02-07,2009.0
2009.01.27.R,Provoked,AZORES,Unknown,Onboard the fishing vessel Nuevo Cedes ,fishing,M,49,N,unknown,"C. Johansson, GSAF",2009-01-27,2009.0
2009.01.26.R,Invalid,BRAZIL,Unknown,Praia do Olho d'Aqua,unknown,M,17,Unknown,unknown,"Jornal Pequeno, 1/26/2009",2009-01-26,2009.0
2009.01.25,Unprovoked,CUBA,Guantanamo Province,Guantanamo Bay,spearfishing,M,15,N,bull shark,"J. Emory; Caribbean Net,  4/142009",2009-01-25,2009.0
2009.01.24.c,Boat,NEW ZEALAND,North Island,Alderman Islands,fishing,Unknown,Unknown,N,unknown,"NZ Herald, 1/26/2009",2009-01-24,2009.0
2009.01.24.b,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Batemans Bay",swimming,M,19,N,unknown,"ABC News, 1/28/2009",2009-01-24,2009.0
2009.01.24.a,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",swimming,M,25,Y,tiger shark,"Daily Dispatch, 1/26/2009",2009-01-24,2009.0
2009.01.23,Invalid,BRAZIL,Maranhão,Olho d'Água ,swimming,M,17,Unknown,unknown,"Jornal Pequeno, 1/26/2009",2009-01-23,2009.0
2009.01.18,Boat,AUSTRALIA,Victoria,Off Tower Hill,fishing,M,Unknown,N,white shark,"The Standard, 1/20/2009",2009-01-18,2009.0
2009.01.16,Unprovoked,NEW ZEALAND,South Island,Karitane Beach,surfing,M,Unknown,N,unknown,"R. Weeks, GSAF",2009-01-16,2009.0
2009.01.13.R,Unprovoked,SOUTH AFRICA,Western Cape Province,"Shark Alley, off Gansbaai",unknown,Unknown,Unknown,Y,white shark,"ABC News, 1/13/2009",2009-01-13,2009.0
2009.01.12,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",snorkeling,M,24,N,unknown,"T. Peake, GSAF",2009-01-12,2009.0
2009.01.11.b,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,surfing,F,13,N,white shark,"P. Kemp, GSAF; C. Black pp. 169-177",2009-01-11,2009.0
2009.01.11.a,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,surfing,M,31,N,white shark,"T. Peake, GSAF",2009-01-11,2009.0
2009.01.10.R,Boat,NEW ZEALAND,North Island,Hawkes Bay,fishing,Unknown,Unknown,N,mako shark,"New Zealand Herald, 1/10/2009",2009-01-10,2009.0
2009.01.10.a,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,surfing,M,22,N,unknown,"C. Johansson, GSAF",2009-01-10,2009.0
2009.01.06,Unprovoked,NEW ZEALAND,North Island,Haumoana ,swimming,M,49,N,unknown,"R. Weeks, GSAF",2009-01-06,2009.0
2009.01.00,Unprovoked,CUBA,Guantanamo Province,Guantanamo,spearfishing,Unknown,Unknown,N,bull shark,"C. Johansson, GSAF",2009-01-01,2009.0
2008.12.30,Invalid,AUSTRALIA,Western Australia,Port Kennedy Beach,unknown,Unknown,Unknown,Unknown,unknown,"Ninemsn, 12/30/2008",2008-12-30,2008.0
2008.12.27.d,Boating,AUSTRALIA,Tasmania,near Schouten Island,unknown,Unknown,Unknown,N,unknown,"Sydney Morning Herald, 12/28/2008",2008-12-27,2008.0
2008.12.27.c,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,boarding,M,10,N,unknown,"T. Peake, GSAF",2008-12-27,2008.0
2008.12.27.b,Boating,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",kayaking,M,29,N,white shark,"Canberra Times, 12/28/2008",2008-12-27,2008.0
2008.12.27.a,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,snorkeling,M,51,Y,white shark,"T. Peake, GSAF",2008-12-27,2008.0
2008.12.20,Boating,USA,California,"Dillon Beach, Marin County",kayaking,M,Unknown,N,white shark,R. Collier,2008-12-20,2008.0
2008.12.14,Unprovoked,NEW ZEALAND,North Island,Maraetai,fishing,M,Unknown,N,whaler shark,"R.D. Weeks, GSAF",2008-12-14,2008.0
2008.12.10,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,fishing,M,15,N,unknown,"The Herald, 12/12/2008",2008-12-10,2008.0
2008.12.06,Boating,AUSTRALIA,New South Wales,Mowarry Point,fishing,Unknown,Unknown,N,white shark,S. Chenhall,2008-12-06,2008.0
2008.12.00,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele,spearfishing,M,Unknown,Y,unknown,J. Little,2008-12-01,2008.0
2008.11.28,Unprovoked,EGYPT,Red Sea,Elphinstone Reef,diving,F,Unknown,N,unknown,"E. Ritter, GSAF",2008-11-28,2008.0
2008.11.25,Sea Disaster,PHILIPPINES,Batanes Provine,Luzon Strait,unknown,M,Unknown,N,unknown,"C. Johansson, GSAF",2008-11-25,2008.0
2008.11.24,Unprovoked,ECUADOR,Galapagos Islands,Santa Cruz,unknown,F,Unknown,N,unknown,ecuadorinmediato.com,2008-11-24,2008.0
2008.11.09.b,Boating,AUSTRALIA,South Australia,North Haven,fishing,M,Unknown,N,whaler shark,"C. Johansson, GSAF",2008-11-09,2008.0
2008.11.09.a,Sea Disaster,TAIWAN,Unknown,50 miles off Kaohsiung,fishing,M,45,Y,unknown,"Reuters, 11/10/2008",2008-11-09,2008.0
2008.11.06,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",fishing,M,39,Y,unknown,"Sun Star, 11/08/2008",2008-11-06,2008.0
2008.10.22,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley",diving,M,34,N,nurse shark,"Herald, 10/22/2008",2008-10-22,2008.0
2008.10.21,Unprovoked,NEW CALEDONIA,Unknown,Unknown,spearfishing,M,24,N,unknown,"C. Johansson, GSAF",2008-10-21,2008.0
2008.10.12,Provoked,AUSTRALIA,Northern Territory,Darwin,fishing,M,50,N,reef shark,"Northern Territory News, 10/14/2008",2008-10-12,2008.0
2008.10.11,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,surfing,M,15,N,unknown,"Herald, 10/12/2008",2008-10-11,2008.0
2008.10.08,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",fishing,M,11,N,unknown,"L. Garlngton, Memphis Commercial Appeal, 10/9/2008",2008-10-08,2008.0
2008.10.06,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",spearfishing,M,43,N,white shark,A. De Maddalena,2008-10-06,2008.0
2008.09.28.b,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,44,N,unknown,S. Petersohn,2008-09-28,2008.0
2008.09.28.a,Unprovoked,USA,Florida,Bethune Beach,surfing,M,40,N,unknown,S. Petersohn,2008-09-28,2008.0
2008.09.15,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,swimming,M,43,N,whaler shark,"Northern Territory News, 9/18/2008",2008-09-15,2008.0
2008.09.14,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",swimming,M,32,N,unknown,S. Petersohn,2008-09-14,2008.0
2008.09.09,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",surfing,M,40,N,tiger shark,"Honolulu Advertiser, 9/10/08",2008-09-09,2008.0
2008.09.08,Unprovoked,USA,California,"Surf Beach, Lompoc, Santa Barbara County",surfing,M,Unknown,N,white shark,R. Collier,2008-09-08,2008.0
2008.09.07,Unprovoked,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",surfing,M,51,N,unknown,"Mailonline.com, 9/8/2008",2008-09-07,2008.0
2008.09.06.b,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,M,43,N,unknown,"S. Petersohn, GSAF",2008-09-06,2008.0
2008.09.06.a,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",surfing,M,15,N,unknown,"S. Petersohn, GSAF",2008-09-06,2008.0
2008.09.01,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,52,N,unknown,J. McGauley,2008-09-01,2008.0
2008.09.00,Unprovoked,USA,Florida,Hutchinson Island,surfing,M,Unknown,N,unknown,"C. Johannson, GSAF",2008-09-01,2008.0
2008.08.30.c,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",surfing,M,29,N,unknown,"C. Johansson, GSAF",2008-08-30,2008.0
2008.08.30.b,Invalid,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",swimming,M,27,Unknown,unknown,"D. Nakaso, Honolulu Advertiser, 8/31/2008",2008-08-30,2008.0
2008.08.30.a,Provoked,ENGLAND,North Devon, Lundy Island,fishing,M,52,N,unknown,"Telegraph.co.uk, 9/1/2008",2008-08-30,2008.0
2008.08.28,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,19,N,unknown,"S. Petersohn, GSAF",2008-08-28,2008.0
2008.08.27,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,26,N,unknown,"S. Petersohn, GSAF",2008-08-27,2008.0
2008.08.24,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,M,20,N,unknown,"S. Petersohn, GSAF",2008-08-24,2008.0
2008.08.22,Invalid,USA,North Carolina,"Surf City, Topsail Island, Pender County",surfing,F,20,Unknown,unknown,"C. Creswell, GSAF",2008-08-22,2008.0
2008.08.20,Unprovoked,USA,Florida,"Sanibel Island, Lee County",swimming,M,47,N,unknown,News-Press.com ,2008-08-20,2008.0
2008.08.18,Invalid,USA,South Carolina,"North Myrtle Beach, Horry County",unknown,M,7,Unknown,unknown,C. Creswell,2008-08-18,2008.0
2008.08.16,Unprovoked,USA,US Virgin Islands,Buck Island,treading,F,38,N,unknown,"M. Levne, GSAF",2008-08-16,2008.0
2008.08.12,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",wading,F,13,N,unknown,"S. Petersohn, GSAF",2008-08-12,2008.0
2008.08.11,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u",diving,M,Unknown,N,tiger shark,"Honolulu Advertiser, 8/13/2008",2008-08-11,2008.0
2008.07.30.R,Unprovoked,AUSTRALIA,Victoria,Levys Beach,surfing,M,31,N,unknown,"Herald Sun, 7/31/2008",2008-07-30,2008.0
2008.07.30,Unprovoked,SOUTH AFRICA,Unknown,Unknown,unknown,M,Unknown,N,white shark,http://www.youtube.com/watch?v=0jVJFXlapWY&feature=related,2008-07-30,2008.0
2008.07.27,Unprovoked,PANAMA,San Carlos,Playa Teta,swimming,M,Unknown,N,unknown,"International Herald Tribune, 7/28/2008",2008-07-27,2008.0
2008.07.26.b,Unprovoked,MEXICO,Cabo San Lucas,Unknown,swimming,M,33,N,unknown,"Fox News, 7/28/2008",2008-07-26,2008.0
2008.07.26.a,Unprovoked,USA,Hawaii,"Honokowai, Maui",swimming,M,Unknown,N,reef shark,"Maui News, 7/27/2008",2008-07-26,2008.0
2008.07.25.b,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,17,N,unknown,"S. Petersohn, GSAF",2008-07-25,2008.0
2008.07.25.a,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",snorkeling,F,44,N,unknown,"Honolulu Star Bulletin, 7/26/2008",2008-07-25,2008.0
2008.07.24.b,Unprovoked,USA,North Carolina,"Surf City, Topsail Island, Pender County",wading,M,9,N,unknown,"C. Creswell, GSAF",2008-07-24,2008.0
2008.07.24.a,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",wading,F,8,N,unknown,"C. Creswell, GSAF",2008-07-24,2008.0
2008.07.23,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,15,N,unknown,"S. Petersohn, GSAF",2008-07-23,2008.0
2008.07.19,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",wading,M,16,N,unknown,"S. Petersohn, GSAF",2008-07-19,2008.0
2008.07.18,Unprovoked,EGYPT,Unknown,Daedalus Reef,diving,M,Unknown,N,unknown,Ocean7,2008-07-18,2008.0
2008.07.13,Invalid,USA,North Carolina,"Carolina Beach, New Hanover County",surfing,M,52,Unknown,unknown,"C. Creswell, GSAF",2008-07-13,2008.0
2008.07.11,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",surfing,M,24,N,unknown,"C. Creswell, GSAF",2008-07-11,2008.0
2008.07.09,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",swimming,F,14,N,unknown,"C. Creswell, GSAF",2008-07-09,2008.0
2008.07.05,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",unknown,F,17,N,unknown,"C. Creswell, GSAF",2008-07-05,2008.0
2008.07.00,Boating,UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings",rowing,M,16,N,unknown,"Hastings Observer, 8/1/2008",2008-07-01,2008.0
2008.06.28.c,Invalid,USA,Hawaii,"Kamilo Point, Hawai'i",wading,M,53,Unknown,unknown,"Honolulu Star Bulletin, 6/30/2008",2008-06-28,2008.0
2008.06.28.b,Unprovoked,BAHAMAS,Abaco Islands,Unknown,spearfishing,M,42,N,bull shark,"M. Briggs; C. Johansson, GSAF",2008-06-28,2008.0
2008.06.28.a,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,skiing,M,46,N,white shark,,2008-06-28,2008.0
2008.06.26.R,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,spearfishing,M,Unknown,N,white shark,D. Inggs; Gletwyn Rubidges Spearfishing and Freediving blog,2008-06-26,2008.0
2008.06.26.b,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,M,29,N,unknown,S. Petersohn,2008-06-26,2008.0
2008.06.26.a,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",swimming,M,37,N,unknown,"P. Pearman;               C. Creswell, GSAF",2008-06-26,2008.0
2008.06.24,Unprovoked,BRAZIL,Bahia,Guarajuba,surfing,M,Unknown,N,unknown,"O Globo, 6/25/2008",2008-06-24,2008.0
2008.06.21,Boating,USA,California,"West Cove, Catalina Island",kayaking,F,40,N,white shark,"R. Collier, GSAF",2008-06-21,2008.0
2008.06.20,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",wading,F,35,N,unknown,"News-Leader, 6/21/2008",2008-06-20,2008.0
2008.06.11,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",surfing,M,14,N,unknown,"O Globo, 6/12/2008",2008-06-11,2008.0
2008.06.07,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",surfing,M,40,N,unknown,"TC Palm, 6/20/08",2008-06-07,2008.0
2008.06.02.R,Boating,SCOTLAND,Easter Ross,Balintore Bay,fishing,Unknown,Unknown,N,unknown,"C. Johansson, GSAF",2008-06-02,2008.0
