Case Number,Month,Year,Type,Country,Area,Location,Activity,Injury,Fatal (Y/N),Time,Species ,Investigator or Source,pdf,URL Reference
2008.05.07.a,May,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,2 inch laceration to left lower calf.,N,Just before noon,,"M. Johnson, Daytona News-Journal, 5/8/2008; S. Petersohn",2008.05.07.a-Atcha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.07.a-Atcha.pdf
2008.05.01,May,2008,Provoked,SOUTH AFRICA,,,Fishing,Leg bitten by shark taken aboard Japanese trawler PROVOKED INCIDENT,N,,,National Sea Rescue Institute,2008.05.01-fisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.05.01-fisherman.pdf
2008.04.28.b,Apr,2008,Unprovoked,MEXICO,Guerro,Troncones Beach,Surfing,FATAL    Severe bite to right thigh,Y,Afternoon,Tiger shark,Surfline.com,2008.04.28.b-Ruiz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.28.b-Ruiz.pdf
2008.04.28.a,Apr,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,3-inch laceration to dorsal surface of left foot,N,11h45,4' shark,S. Petersohn,2008.04.28.a-Alger.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.28.a-Alger.pdf
2008.04.27,Apr,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Calf bitten,N,10h30,,S. Petersohn,2008.04.27-Tobin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.27-Tobin.pdf
2008.04.26.b,Apr,2008,Unprovoked,NEW CALEDONIA,North Province,Poindimié,Swimming,Lacerations to left foot,N,Morning,"Bull shark, 1.8m","Les Nouvelles Calédonie, 4/28/2008 & 4/29/2008",2008.04.26.b-Vilain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.26.b-Vilain.pdf
2008.04.26.a,Apr,2008,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Puncture wounds to right foot                  PROVOKED INCIDENT,N,09h50,,S. Petersohn,2008.04.26.a-Pattison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.26.a-Pattison.pdf
2008.04.25,Apr,2008,Unprovoked,USA,California,"Solana Beach, San Diego County",Swimming,FATAL,Y,07h00,"White shark, 12' to 15'",R. Collier,2008.04.25-DaveMartin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.25-DaveMartin.pdf
2008.04.20.b,Apr,2008,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Cuts & punctures to right foot,N,08h45,,"S. Petersohn, GSAF",2008.04.20.b-Girl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.20.b-Girl.pdf
2008.04.20.a,Apr,2008,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,,,UNKNOWN,,"Tiger shark, 2.3m","T. Peake, GSAF",2008.04.20.a-Adlington.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.20.a-Adlington.pdf
2008.04.19.R,Apr,2008,Invalid,SOUTH AFRICA,KwaZulu-Natal,Aliwal Shoal,Free-diving,"As he pushd the shark away from his camera, his finger was cut on a tooth",N,,"Tiger shark, 13' female",J. Avenier,2008.04.19.R-Avenier.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.19.R-Avenier.pdf
2008.04.18,Apr,2008,Invalid,MEXICO,Quintana Roo,"Delfines Beach, Cancun",Swimming,Probable drowning with post-mortem bites,Y,Evening,"Reported by media as shark attack, but shark involvement prior to death was not confirmed",C.Johansson,2008.04.18-Villanueva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.18-Villanueva.pdf
2008.04.17,Apr,2008,Invalid,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",Surfing,2 puncture wounds to leg,N,11h00,Shark involvement not confirmed; thought to be a barracuda bite,"C. Johansson, GSAF",2008.04.17-Weale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.17-Weale.pdf
2008.04.15,Apr,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Puncture wounds to right foot,N,15h00,1.5' to 2' shark,B. Phillips,2008.04.15-Phillips.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.15-Phillips.pdf
2008.03.28.a,Mar,2008,Unprovoked,USA,Florida,"Near Cocoa Beach, Brevard  County",Boogie Boarding,Right foot bitten,N,,a small shark,"D. MacAnnally, Eyewitness News",2008.03.28.a-Holloway.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.a-Holloway.pdf
2008.04.09.R,Apr,2008,Unprovoked,FIJI,,,Spearfishing,Left forearm bitten,N,,,"C. Johansson, GSAF; Orange County Register 4/9/2009",2008.04.09.R-Meli-Fiji.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.09.R-Meli-Fiji.pdf
2008.04.08.R,Apr,2008,Unprovoked,USA,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,Foot bitten,N,,,"News 13,4/8/2008",2008.04.08.R-NSB-2.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.08.R-NSB-2.pdf
2008.04.08,Apr,2008,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Body boarding,FATAL,Y,08h05,Bull shark,"T. Peake, GSAF; NSW Police Force",2008.04.08.a-Edmonds.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.08.a-Edmonds.pdf
2008.04.03,Apr,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,Right foot & ankle bitten,N,12h00,,"S. Petersohn, GSAF",2008.04.03-Giangrasso.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.04.03-Giangrasso.pdf
2008.03.28.c,Mar,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Scottburgh,Fishing from surfski,Right leg bitten,N,,,"C. Johansson, GSAF",2008.03.28.c-Peens.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.c-Peens.pdf
2008.03.28.b,Mar,2008,Unprovoked,USA,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,Foot bitten,N,18h50,4' to 5' shark,"S. Petersohn, GSAF",2008.03.28.b-Lemelin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.28.b-Lemelin.pdf
2008.03.25,Mar,2008,Unprovoked,USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,Shin bitten,N,,6' shark,"The Plain Dealer, 4/1/2008",2008.03.25-Canganelli.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.25-Canganelli.pdf
2008.03.23,Mar,2008,Unprovoked,USA,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Walking out of the water after surfing,Three small lacerations/ punctures to right foot,N,11h30,2.5' shark,"S. Petersohn, GSAF",2008.03.23-NewSmyrnaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.23-NewSmyrnaBeach.pdf
2008.03.21,Mar,2008,Unprovoked,USA,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,Two 3-inch lacerations to right ankle,N,15h53,,"S. Petersohn, GSAF",2008.03.21-NewSmyrnaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.21-NewSmyrnaBeach.pdf
2008.03.15,Mar,2008,Unprovoked,USA,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Jet skiing,Minor injury,N,Afternoon,Shark involvement not confirmed,News-Press.com,2008.03.15-BonitaSprings.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.15-BonitaSprings.pdf
2008.03.07,Mar,2008,Unprovoked,USA,California,"Huntington Beach, Orange County",Surfing,"No injury to surfer, surfboard bitten by the shark",N,08h00,White shark,R. Collier,2008.03.07-Larkin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.03.07-Larkin.pdf
2008.02.24,Feb,2008,Unprovoked,BAHAMAS,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,"Leg bitten, FATAL",Y,10h00,"A bull shark, according to some of the divers on the boat","Sun-Sentinel, 2/25/2008",2008.02.24-Groh.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.24-Groh.pdf
2008.02.21.R,Feb,2008,Unprovoked,FRENCH POLYNESIA,Society Islands,Tahiti,Spearfishing,Lacerations to face,N,,,"Independent News Online, 2/21/2008",2008.02.21.R-Hauta.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.21.R-Hauta.pdf
2008.02.15,Feb,2008,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Lacerations to foot,N,17h00,,"S. Petersohn, GSAF",2008.02.15-Bradner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.15-Bradner.pdf
2008.02.07,Feb,2008,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,Surfing,Abrasions to elbow; collided with shark,N,,1 m shark,"T. Peake, GSAF",2008.02.07-Casey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.07-Casey.pdf
2008.02.06,Feb,2008,Unprovoked,USA,Florida,"Opposite Patrick Air Force Base, Brevard County",Surf-skiing,Lacerations to foot,N,,3' shark,"Vero Beach Press Journal, 2/7/2008",2008.02.06-Surfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.02.06-Surfer.pdf
2008.01.29,Jan,2008,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Surf-skiing,"No injury to surf-skiier, shark holed ski",N,,"Blacktip shark, 2m","The Mercury, 2/1/2008",2008.01.29-Symington.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.29-Symington.pdf
2008.01.27,Jan,2008,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta,Accidentally stood on hooked shark's tail before attempting to gut it,Laceration to left knee PROVOKED INCIDENT,N,07h30,"Mako shark, 90kg",News.com.au,2008.01.27-Tinson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.27-Tinson.pdf
2008.01.19.R,Jan,2008,Invalid,NEW ZEALAND,South Island,Marfells Beach,Wading,"Stingray envenomation, not a shark",N,,No shark involvement,"R.D. Weeks, GSAF",2008.01.19.R-O'Neill.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.19.R-O'Neill.pdf
2008.01.14,Jan,2008,Boat,NEW ZEALAND,North Island,Omaha Beach,Attempting to chase shark out to sea,"No injury to occupants, pontoon punctured",N,14h00,"Bronze whaler shark, 4m","TV3; R.D. Weeks, GSAF",2008.01.14-inflatable-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.14-inflatable-boat.pdf
2008.01.10,Jan,2008,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Left foot bitten,N,,a small shark,"Forida Today, 1/18/2008; Channel 9 News",2008.01.10-Marsden.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.01.10-Marsden.pdf
2008.00.00.b,Undetermined,2008,Provoked,USA,Florida,"Off Fort Pierce, St. Lucie County",Fishing for snapper,Minor injury to hand by hooked shark   PROVOKED INCIDENT,N,,"Nurse shark, 10'",Extremecoast.com/ 1/30/2009,2008.00.00.b-Silva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.00.00.b-Silva.pdf
2008.00.00.a,Undetermined,2008,Unprovoked,MEXICO,Baja California,Playas de Tijuana,Surfing,Leg bitten,N,,Possibly a hammerhead shark,"San Diego Reader, 1/7/2009",2008.00.00.a-Edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2008.00.00.a-Edwards.pdf
2007.12.21,Dec,2007,Unprovoked,ECUADOR,Galapagos Islands,San Cristobal Island,Surfing,Lacerations & puncture wounds  to left thigh,N,,3 m shark,"R. D. Weeks, GSAF; Radio New Zealand",2007.12.21-Judd.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.21-Judd.pdf
2007.12.19,Dec,2007,Invalid,BRITISH VIRGIN ISLANDS,Green Bay,,Scuba diving,Shark bites were post-mortem,Y,,,"C. Johannson, GSAF",2007.12.19-Johanning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.19-Johanning.pdf
2007.12.18,Dec,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,Severe lacerations to right buttock,N,11h00,2 m shark,"Daily Telegraph, 12/18/2007",2007.12.18-Morcom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.18-Morcom.pdf
2007.12.15,Dec,2007,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,Swimming,Lacerations to hand,N,,"""a small shark""",goldcoast.com.au,2007.12.15-Edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.15-Edwards.pdf
2007.12.14,Dec,2007,Invalid,AUSTRALIA,New South Wales,Bondi,Swimming,Lacerations to left forearm,N,20h30,Not a shark attack; it was a hoax,"Sydney Morning Herald, 12/16/2007",2007.12.14-Wright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.14-Wright.pdf
2007.12.10,Dec,2007,Unprovoked,USA,Hawaii,"Waialua Bay, O'ahu",Surfing,"No injury, shark bit surfboard",N,"""Just before 11h00""",Tiger shark,"Honolulu Advertiser, 12/12/2007",2007.12.10-Ramirez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.10-Ramirez.pdf
2007.12.09,Dec,2007,Unprovoked,NEW ZEALAND,South Island,Kaikoura,Surfing,"No injury, shark bit surfboard & severed leash",N,,,"NZ Herald, 12/11/2007",2007.12.09-Hislop.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.09-Hislop.pdf
2007.12.07,Dec,2007,Unprovoked,BRAZIL,Pernambuco,Itamaracá,Removing fish from a trap,20 cm injury to left foot,N,,2.27 m shark,"JC online, 12/8/2007",2007.12.07-Malvis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.12.07-Malvis.pdf
2007.11.18,Nov,2007,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,Fishing,Minor injury to finger by netted shark PROVOKED INCIDENT,N,,reef shark,"thewest.com.au, 11/19/2007",2007.11.18-WA.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.18-WA.pdf
2007.11.08,Nov,2007,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",Surfing,"No injury, teethmarks in board & torn wetsuit",N,14h20,,"Northern Star, 11/10/2007",2007.11.08-Evans.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.08-Evans.pdf
2007.11.07,Nov,2007,Unprovoked,SOUTH AFRICA,Western Cape Province,The Strand,Surfing,Lacerations to feet,N,17h30,1.5 to 2 m shark,"The Times (Cape Town), 11/9/2007",2007.11.07-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.07-Smith.pdf
2007.11.06,Nov,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Cut to right knee,N,11h115,4' to 5' shark,"S. Petersohn; GSAF' Central Florida News, 11/7/2006",2007.11.06-Fox.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.06-Fox.pdf
2007.11.04,Nov,2007,Unprovoked,USA,Florida,"Round Island Park, Indian River County",Surfing,Lacerations to right leg,N,09h00,5' shark,"T.C. Palm, 11/4/2007 & 11/5/2007",2007.11.04-Nolan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.04-Nolan.pdf
2007.11.03,Nov,2007,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Bonza Bay,Surfing,Lacerations to thigh,N,08h45,"White shark, 3m to 4m",Daily Dispatch,2007.11.03-Mellin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.03-Mellin.pdf
2007.11.00,Nov,2007,Invalid,MEXICO,Baja California,Guadalupe Island,Shark diving,White shark breached cage. No injury to occupants,N,,,Today Show,2007.11.00-cage.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.11.00-cage.pdf
2007.10.29,Oct,2007,Unprovoked,USA,Hawaii,"Wailea, Maui",Floating,Lacerations to left lower leg,N,15h30,Tiger shark,KHNL8.com,2007.10.29-Finley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.29-Finley.pdf
2007.10.15,Oct,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Surf-skiing,small laceration to wrist,N,11h30,"White shark, 2.5m","Sydney Morning Herald, 10/15/2007",2007.10.15-Whitehurst.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.15-Whitehurst.pdf
2007.10.13,Oct,2007,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,Spearfishing,Laceration to calf,N,12h00,Bronze whaler shark,"news.com.au, 10/14/2007",2007.10.13-Wood.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.13-Wood.pdf
2007.10.07,Oct,2007,Unprovoked,USA,California,"Venice Pier, Venice, Los Angeles County",Surfing,4 scratches on left hand,N,20h30,3' to 4' shark,R. Collier,2007.10.07-Bendall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.07-Bendall.pdf
2007.10.06,Oct,2007,Unprovoked,USA,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,Severe lacerations to right hand,N,08h10,"Blacktip shark, 5'",E. H.,2007.10.06-EH.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.10.06-EH.pdf
2007.09.30.c,Sep,2007,Unprovoked,USA,California,"Santa Monica, Los Angeles County",Surfing,Puncture wound to foot,N,11h30,,R. Collier,2007.09.30.c-Sinagra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.c-Sinagra.pdf
2007.09.30.b,Sep,2007,Sea Disaster,PHILIPPINES,Palawan,Off Cagayancillo,"The 426-ton cargo ship Mia, laden with cement, capsized in heavy seas","FATAL        Only 4 of the 18 on board were rescued, some of the missing were allegedly killed by sharks",Y,14h40,,"Cebu Daily News, 10/3/2007",2007.09.30.b-Mia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.b-Mia.pdf
2007.09.30.a,Sep,2007,Unprovoked,NEW CALEDONIA,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,FATAL,Y,Early morning,Tiger shark,"Les Nouvelles Caledoniennes, 10/1/2007",2007.09.30.a-Belliard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.30.a-Belliard.pdf
2007.09.28,Sep,2007,Unprovoked,BAHAMAS,Grand Bahama Island,Sweetings Cay,Spearfishing,Thigh bitten,N,12h00,Caribbean reef shark,"A. Brenneka, SharkAttackSurvivors.com",2007.09.28-Gano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.28-Gano.pdf
2007.09.27.b,Sep,2007,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,"No injury to surfer, surfboard bitten",N,08h15,White shark,R. Collier,2007.09.27.b-Snyder.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.27.b-Snyder.pdf
2007.09.27.a,Sep,2007,Unprovoked,EGYPT,Red Sea,Daedalus Reef,Swimming,"Severe lacerations to lower left leg, ankle and foot",N,07h00,Oceanic whitetip sharks were in the vicinity,"E. Ritter & Y. Sobolev, GSAF; M. Salem",2007.09.27.a-Aleksandrova.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.27.a-Aleksandrova.pdf
2007.09.22.b,Sep,2007,Invalid,USA,Florida,Jupiter Inlet,Scuba diving,Shark involvement prior to death unconfirmed,Y,,,"Florida Today, 12/14/2007",2007.09.22.b-Cuomo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.22.b-Cuomo.pdf
2007.09.22.a,Sep,2007,Unprovoked,USA,Florida,Huguenot Park,Surfing,Laceration to foot,N,,4' shark,"R.Duffy, First Coast News. 9/23/2007",2007.09.22.a-HuguenotPark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.22.a-HuguenotPark.pdf
2007.09.20,Sep,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Small lacerations to bottom of right big toe,N,18h20,3' shark,"S. Petersohn, GSAF",2007.09.20-Robertson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.20-Robertson.pdf
2007.09.17,Sep,2007,Unprovoked,SOLOMON ISLANDS,Marovo Lagoon,Kicha Island,Spearfishing,Left thigh bitten,N,Dusk,Gray reef shark,L. Choquette,2007.09.17-Corey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.17-Corey.pdf
2007.09.16.b,Sep,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading?,Laceration to right heel,N,11h15,,"S. Petersohn, GSAF",2007.09.16.b-Calogero.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.16.b-Calogero.pdf
2007.09.16.a,Sep,2007,Unprovoked,USA,Florida,"Flagler Beach, Flagler County",Surfing,"No injury, surfboard bitten",N,Early morning,9.5' shark?,wsbtv.com,2007.09.16.a-Riley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.16.a-Riley.pdf
2007.09.13,Sep,2007,Unprovoked,USA,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,"Minor injury, shark latched onto his abdomen",N,16h00,"Nurse shark, 2' to 3'","Miami Herald, 9/13/2007; Sun-Sentinel, 9/14/2007",2007.09.13-Chapman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.13-Chapman.pdf
2007.09.08,Sep,2007,Unprovoked,USA,Florida,"Pepper Park Beach, St. Lucie County",Wading,Puncture wounds & 2-inch laceration to calf,N,11h45,,"First Coast News, 9/11/2007",2007.09.08-Griffin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.08-Griffin.pdf
2007.09.05,Sep,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,Laceration to right big toe,N,13h42,,"S. Petersohn, GSAF",2007.09.05-Wilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.05-Wilson.pdf
2007.09.04,Sep,2007,Unprovoked,USA,South Carolina,Sullivan's Island,Standing,Lacerations to left calf and both feet,N,18h30,,"C. Creswell, GSAF; J. Johnson, Post and Courier, 9/26/2007",2007.09.04-Corr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.04-Corr.pdf
2007.09.03.b,Sep,2007,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Jumping,Tiny punctures to arm,N,Morning,"18"" to 24"" shark","S. Petersohn, GSAF",2007.09.03.b-Daytona.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.03.b-Daytona.pdf
2007.09.03.a,Sep,2007,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,"3"" laceration to left forearm",N,09h45,Possibly a spinner shark,"S. Wyman, Sun-Sentinel, 9/3/2007; Local10.com",2007.09.03.a-Iaciofano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.09.03.a-Iaciofano.pdf
2007.08.28.b,Aug,2007,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",Body boarding,Laceration to right heel,N,16h30,"Tiger shark, 10' to 12'","Honolulu Advertiser, 8/29/2007",2007.08.28.b-Sumait.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.28.b-Sumait.pdf
2007.08.28.a,Aug,2007,Unprovoked,USA,California,"Marina State Beach, Monterey County",Surfing,Lacerations to thigh & torso,N,10h45,"White shark, 12'",R. Collier,2007.08.28.a-Endris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.28.a-Endris.pdf
2007.08.26,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Left hand  bitten,N,14h00,3' shark,"S. Petersohn, GSAF",2007.08.26-Coursey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.26-Coursey.pdf
2007.08.25,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,6 lacerations to left hand,N,Morning,3' shark,"S. Petersohn, GSAF; WESH 2 News",2007.08.25-Smith.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.25-Smith.pdf
2007.08.22,Aug,2007,Provoked,USA,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,Minor injury from captive shark PROVOKED INCIDENT,N,,Sand shark,"Clay Creswell, GSAF; WECT TV6",2007.08.22-Pennington.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.22-Pennington.pdf
2007.08.20,Aug,2007,Provoked,USA,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,Forearm bitten by hooked shark PROVOKED INCIDENT,N,19h45,Sandtiger shark,"Delaware Coast Press, 8/24/2007",2007.08.20-DelawareFisherman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.20-DelawareFisherman.pdf
2007.08.19.c,Aug,2007,Unprovoked,USA,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,Torso bitten,N,20h15,,"Miami Herald, 8/20/2007",2007.08.19.c-Olstad.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.c-Olstad.pdf
2007.08.19.b,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Foot bitten,N,12h39,4' to 5' shark,"S. Petersohn, GSAF",2007.08.19.b-NewSmyrnaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.b-NewSmyrnaBeach.pdf
2007.08.19.a.,Aug,2007,Unprovoked,USA,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Playing,Right calf bitten,N,10h00,,"C. Creswell, GSAF",2007.08.19.a-boy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.19.a-boy.pdf
2007.08.15,Aug,2007,Unprovoked,USA,Florida,Sarasota Bay,Floating near boat & observing bioluminesce,Puncture wounds to torso,N,Night,Possibly a 6' bull shark,"Charlotte Observer, 8/18/2007",2007.08.15-Lynch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.15-Lynch.pdf
2007.08.12,Aug,2007,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,"Minor injury, small lacerations to right foot",N,17h35,,"S. Petersohn, GSAF",2007.08.12-girl-NewSmyrnaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.12-girl-NewSmyrnaBeach.pdf
2007.08.11,Aug,2007,Unprovoked,USA,Florida,"Ponce Inlet,  New Smyrna Beach, Volusia County",Walking out of the water after surfing,"Minor injury, lacerations to left ankle & foot",N,18h00,,"S. Petersohn, GSAF",2007.08.11-Barton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.11-Barton.pdf
2007.08.09.b,Aug,2007,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,Lacerations to right foot,N,16h40,,"C. Creswell, GSAF",2007.08.09.b-NoahGreen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2007.08.09.b-NoahGreen.pdf
