date,month,year,type,country,activity,sex,age,fatal (y/n)
22-May-02,may,2002,Unprovoked,USA,Playing in the surf with his 2 dogs,M,35,N
Reported 21-May-2002,may,2002,Unprovoked,COSTA RICA,Surfing,M,,N
21-May-02,may,2002,Unprovoked,PAPUA NEW GUINEA,Collecting beche-de-mer,M,14,N
13-May-02,may,2002,Unprovoked,USA,Fishing,M,31,N
10-May-02,may,2002,Unprovoked,BRAZIL,Surfing,M,40,N
07-May-02,may,2002,Provoked,AUSTRALIA,Fishing from prawn trawler,M,20,N
30-Apr-02,apr,2002,Unprovoked,AUSTRALIA,Scallop diving (using surface-supplied air & a POD) ,M,23,Y
21-Apr-02,apr,2002,Invalid,AUSTRALIA,Fishing (Drowned 2-Apr-2002),M,52,Y
20-Apr-02,apr,2002,Unprovoked,USA,"Surfing, but standing in water alongside board",M,34,N
18-Apr-02,apr,2002,Unprovoked,USA,Surfing,M,28,N
12-Apr-02,apr,2002,Unprovoked,AUSTRALIA,Swimming,M,45,N
09-Apr-02,apr,2002,Unprovoked,BAHAMAS,Standing,M,43,N
02-Apr-02,apr,2002,Unprovoked,USA,Wading,M,41,N
01-Apr-02,apr,2002,Unprovoked,USA,Swimming / Wading,M,29,N
25-Mar-02,mar,2002,Unprovoked,USA,Body-boarding,M,17,N
25-Mar-02,mar,2002,Unprovoked,USA,Wading,F,11,N
24-Mar-02,mar,2002,Unprovoked,BRAZIL,Swimming,M,16,Y
19-Mar-02,mar,2002,Unprovoked,USA,Swimming /  boogie boarding,M,20,N
15-Mar-02,mar,2002,Unprovoked,USA,Snorkeling,M,39,N
15-Mar-02,mar,2002,Unprovoked,USA,Surfing,M,31,N
03-Mar-02,mar,2002,Invalid,NEW CALEDONIA,Spearfishing,M,44,Y
23-Feb-02,feb,2002,Unprovoked,TURKS & CAICOS,Capsized fishing boat,M,,Y
16-Feb-02,feb,2002,Unprovoked,AUSTRALIA,Surfing,M,30 or 36,N
11-Feb-02,feb,2002,Unprovoked,FIJI,,M,15,Y
07-Feb-02,feb,2002,Unprovoked,AUSTRALIA,Kayaking,M,35,N
30-Jan-02,jan,2002,Unprovoked,AUSTRALIA,Surfing,M,20,N
30-Jan-02,jan,2002,Unprovoked,AUSTRALIA,Swimming,M,32,N
04-Jan-02,jan,2002,Unprovoked,SOUTH AFRICA,Fishing,M,16,N
03-Jan-02,jan,2002,Unprovoked,BRAZIL,Swimming,,,Y
01-Jan-02,jan,2002,Unprovoked,SOUTH AFRICA,Surf skiing,M,26,N
01-Jan-02,jan,2002,Unprovoked,USA,Snorkeling,M,35,N
21-Dec-01,dec,2001,Invalid,AUSTRALIA,Surfing,M,36,N
23-Nov-01,nov,2001,Unprovoked,AUSTRALIA,Surfing,M,49,N
14-Nov-01,nov,2001,Unprovoked,USA,Surfing,,,N
07-Nov-01,nov,2001,Invalid,AUSTRALIA,Surf-skiing,M,,N
07-Oct-01,oct,2001,Unprovoked,SOUTH AFRICA,Kite-Boarding,M,,N
02-Oct-01,oct,2001,Unprovoked,AUSTRALIA,Snorkeling,F,20,N
30-Sep-01,sep,2001,Unprovoked,MEXICO,Body surfing,M,26,N
30-Sep-01,sep,2001,Boat,AUSTRALIA,,M,31,N
24-Sep-01,sep,2001,Provoked,USA,"Surfing, fell off surfboard & stepped on the shark.",M,21,N
18-Sep-01,sep,2001,Unprovoked,USA,Surfing,M,14,N
16-Sep-01,sep,2001,Invalid,USA,Wreck / Technical diving,M,42,Y
15-Sep-01,sep,2001,Unprovoked,USA,Boogie boarding,M,6�,N
15-Sep-01,sep,2001,Unprovoked,USA,Surfing,M,16,N
13-Sep-01,sep,2001,Provoked,UNITED KINGDOM,Diving,M,,N
08-Sep-01,sep,2001,Provoked,USA,Fishing,M,44,N
07-Sep-01,sep,2001,Unprovoked,USA,Walking in shallows,M,13,N
07-Sep-01,sep,2001,Invalid,USA,Swimming,F,,N
03-Sep-01,sep,2001,Unprovoked,USA,Swimming ,M,28,Y
03-Sep-01,sep,2001,Unprovoked,USA,Swimming,F,23,N
02-Sep-01,sep,2001,Unprovoked,USA,Wading,M,20,N
01-Sep-01,sep,2001,Unprovoked,USA,Swimming ,M,10,Y
31-Aug-01,aug,2001,Unprovoked,BAHAMAS,Spearfishing,M,44,N
29-Aug-01,aug,2001,Unprovoked,USA,Standing,F,29,N
27-Aug-01,aug,2001,Unprovoked,USA,Wading,M,69,N
26-Aug-01,aug,2001,Unprovoked,USA,Boogie Boarding,M,18,N
25-Aug-01,aug,2001,Unprovoked,USA,Boogie Boarding,M,18,N
22-Aug-01,aug,2001,Unprovoked,USA,Surfing,M,17,N
21-Aug-01,aug,2001,Unprovoked,USA,Surfing,M,27,N
19-Aug-01,aug,2001,Unprovoked,USA,Surfing,M,32,N
19-Aug-01,aug,2001,Unprovoked,USA,Surfing,F,17,N
19-Aug-01,aug,2001,Unprovoked,USA,Surfing,F,17,N
18-Aug-01,aug,2001,Unprovoked,USA,Surfing,M,20,N
18-Aug-01,aug,2001,Unprovoked,USA,Surfing,M,19,N
18-Aug-01,aug,2001,Unprovoked,USA,Surfing,M,19,N
16-Aug-01,aug,2001,Unprovoked,BAHAMAS,Spearfishing,M,43,N
12-Aug-01,aug,2001,Unprovoked,THAILAND,Fell off banana boat,M,21 & ?,N
05-Aug-01,aug,2001,Unprovoked,USA,,F,,N
04-Aug-01,aug,2001,Unprovoked,BAHAMAS,Swimming,M,36,N
03-Aug-01,aug,2001,Boat,ITALY,Fishing,,,N
26-Jul-01,jul,2001,Unprovoked,USA,,F,,N
25-Jul-01,jul,2001,Unprovoked,USA,,M,,N
24-Jul-01,jul,2001,Unprovoked,USA,,F,,N
21-Jul-01,jul,2001,Boat,USA,Fishing,,,N
15-Jul-01,jul,2001,Unprovoked,USA,Surfing,M,48,N
15-Jul-01,jul,2001,Unprovoked,USA,Boogie boarding,M,18,N
06-Jul-01,jul,2001,Unprovoked,MEXICO,Surfing,M,42,N
06-Jul-01,jul,2001,Unprovoked,USA,Swimming,M,8,N
03-Jul-01,jul,2001,Unprovoked,USA,,,,N
12-Jun-01,jun,2001,Unprovoked,USA,Swimming,M,14,N
10-Jun-01,jun,2001,Provoked,USA,Spearfishing,M,52,N
09-Jun-01,jun,2001,Invalid,AUSTRALIA,Hiking on the beach,M,75,Y
03-Jun-01,jun,2001,Unprovoked,USA,Wading,F,29,N
29-May-01,may,2001,Unprovoked,USA,,M,16,N
23-May-01,may,2001,Unprovoked,USA,Swimming,M,11,N
20-May-01,may,2001,Unprovoked,USA,Swimming,M,,N
18-May-01,may,2001,Provoked,PHILIPPINES,Shark fishing,M,24,N
11-May-01,may,2001,Invalid,MADAGASCAR,,M,,Y
08-May-01,may,2001,Unprovoked,SOUTH AFRICA,Surfing,M,26,N
04-May-01,may,2001,Unprovoked,AUSTRALIA,Surfing,M,33 or 37,N
03-May-01,may,2001,Unprovoked,USA,Surfing,M,45,N
28-Apr-01,apr,2001,Unprovoked,USA,Boogie boarding,M,14,N
13-Apr-01,apr,2001,Unprovoked,USA,Surfing,M,16,N
13-Apr-01,apr,2001,Unprovoked,USA,Surfing,M,12,N
12-Apr-01,apr,2001,Unprovoked,USA,,M,mid-30s,N
12-Apr-01,apr,2001,Unprovoked,USA,Surfing,M,38,N
12-Apr-01,apr,2001,Unprovoked,USA,Surfing,M,21,N
12-Apr-01,apr,2001,Unprovoked,USA,Body boarding,M,12,N
12-Apr-01,apr,2001,Unprovoked,USA,Surfing,M,22,N
11-Apr-01,apr,2001,Unprovoked,USA,Surfing,M,19,N
11-Apr-01,apr,2001,Unprovoked,USA,Surfing,M,22,N
11-Apr-01,apr,2001,Unprovoked,USA,Surfing,M,,N
10-Apr-01,apr,2001,Unprovoked,USA,Surfing,,16,N
08-Apr-01,apr,2001,Unprovoked,SOUTH AFRICA,Surfing,M,46,N
08-Apr-01,apr,2001,Provoked,AUSTRALIA,Snorkeling,M,,N
05-Apr-01,apr,2001,Unprovoked,USA,Standing alongside surfboard,M,26,N
02-Apr-01,apr,2001,Unprovoked,AUSTRALIA,Surfing,M,40,N
23-Mar-01,mar,2001,Unprovoked,USA,Body-boarding,M,,N
09-Mar-01,mar,2001,Unprovoked,USA,Surfing,M,,N
08-Mar-01,mar,2001,Invalid,BRAZIL,Attempting to catch a crocodile,M,12,N
03-Mar-01,mar,2001,Unprovoked,BRAZIL,Swimming,M,20,Y
26-Feb-01,feb,2001,Boat,AUSTRALIA,Fishing for whiting,,,N
11-Feb-01,feb,2001,Invalid,MALAYSIA,Unknown,F,,Y
04-Feb-01,feb,2001,Unprovoked,AUSTRALIA,Surfing,M,40,N
Reported  24-Jan-2001,jan,2001,Boat,AUSTRALIA,Kayaking,M,35,N
24-Jan-01,jan,2001,Unprovoked,CUBA,Swimming,F,55,N
21-Jan-01,jan,2001,Boat,AUSTRALIA,Fishing,,,N
09-Jan-01,jan,2001,Unprovoked,USA,Surfing,M,,N
06-Jan-01,jan,2001,Boat,NEW ZEALAND,Kayaking,M,,N
24-Dec-00,dec,2000,Unprovoked,AUSTRALIA,Scuba diving,M,23,N
12-Dec-00,dec,2000,Unprovoked,FIJI,Swimming back from anchored sailboat,M,47,Y
11-Dec-00,dec,2000,Boat,AUSTRALIA,Fishing for whiting,,,N
05-Dec-00,dec,2000,Unprovoked,CANADA,Diving for sea urchins,M,30,N
03-Dec-00,dec,2000,Unprovoked,AUSTRALIA,Spearfishing,M,38,N
21-Nov-00,nov,2000,Unprovoked,AUSTRALIA,Diving (shell maintenance),M,28,N
20-Nov-00,nov,2000,Invalid,AUSTRALIA,Shipwrecked,M,47,Y
17-Nov-00,nov,2000,Unprovoked,USA,Swimming,M,73,N
10-Nov-00,nov,2000,Invalid,USA,Walking,F,27,N
06-Nov-00,nov,2000,Unprovoked,AUSTRALIA,Swimming,M,52,N
06-Nov-00,nov,2000,Unprovoked,AUSTRALIA,Swimming,M,49,Y
04-Nov-00,nov,2000,Unprovoked,USA,Surfing,M,27,N
29-Oct-00,oct,2000,Boat,AUSTRALIA,Fishing ,,31,N
20-Oct-00,oct,2000,Unprovoked,USA,Surfing,M,23,N
18-Oct-00,oct,2000,Unprovoked,USA,Swimming / snorkeling,F,56,N
14-Oct-00,oct,2000,Unprovoked,USA,Swimming,M,69,N
09-Oct-00,oct,2000,Unprovoked,USA,Surfing,M,17,N
06-Oct-00,oct,2000,Unprovoked,USA,Surfing,M,23,N
06-Oct-00,oct,2000,Unprovoked,USA,Body surfing,M,11,N
02-Oct-00,oct,2000,Unprovoked,USA,Surfing,M,24,N
29-Sep-00,sep,2000,Unprovoked,USA,Sitting on surfboard,M,,N
25-Sep-00,sep,2000,Unprovoked,AUSTRALIA,Surfing,M,17,Y
24-Sep-00,sep,2000,Unprovoked,AUSTRALIA,Surfing,M,25,Y
19-Sep-00,sep,2000,Provoked,AUSTRALIA,Fell onto dead shark,M,12,N
16-Sep-00,sep,2000,Unprovoked,OKINAWA,Surfing,M,31,Y
16-Sep-00,sep,2000,Unprovoked,USA,,,,N
15-Sep-00,sep,2000,Unprovoked,USA,Standing / surfing,M,49,N
12-Sep-00,sep,2000,Unprovoked,USA,Surfing,F,26,N
11-Sep-00,sep,2000,Unprovoked,USA,Swimming / Body surfing,M,25,N
10-Sep-00,sep,2000,Unprovoked,USA,Swimming,M,8,N
10-Sep-00,sep,2000,Unprovoked,SOUTH AFRICA,Free diving,M,48,N
08-Sep-00,sep,2000,Unprovoked,TANZANIA,Swimming,M,28,Y
08-Sep-00,sep,2000,Unprovoked,USA,Wading,M,40,N
08-Sep-00,sep,2000,Unprovoked,REUNION,Surfing,M,27,N
31-Aug-00,aug,2000,Unprovoked,USA,Swimming,M,47,N
30-Aug-00,aug,2000,Unprovoked,USA,Jumped into the water,M,69,Y
Reported 27-Aug-2000,aug,2000,Provoked,USA,Conducting research,M,,N
21-Aug-00,aug,2000,Unprovoked,USA,Swimming out to porpoises ,M,,N
15-Aug-00,aug,2000,Unprovoked,USA,"Windsurfing, but sitting on his board",M,53,N
13-Aug-00,aug,2000,Unprovoked,USA,Surfing / Wading,M,27,N
12-Aug-00,aug,2000,Unprovoked,USA,Standing,F,44,N
11-Aug-00,aug,2000,Invalid,USA,Swimming ,M,,N
10-Aug-00,aug,2000,Invalid,USA,Attempting to illegally enter the USA,M,23 & 20,Y
25-Jul-00,jul,2000,Unprovoked,USA,,M,5,N
22-Jul-00,jul,2000,Unprovoked,USA,Snorkeling,F,45,N
17-Jul-00,jul,2000,Unprovoked,USA,Surfing,M,16,N
16-Jul-00,jul,2000,Unprovoked,USA,Surfing,M,14,N
16-Jul-00,jul,2000,Unprovoked,SOUTH AFRICA,Surfing,M,15,N
15-Jul-00,jul,2000,Unprovoked,SOUTH AFRICA,Surfing,M,18,N
15-Jul-00,jul,2000,Unprovoked,SOUTH AFRICA,Surfing,M,,N
12-Jul-00,jul,2000,Unprovoked, TONGA,Scuba diving,M,69,N
10-Jul-00,jul,2000,Unprovoked,USA,Wading,M,13,N
09-Jul-00,jul,2000,Unprovoked,USA,Swimming ,M,41,N
07-Jul-00,jul,2000,Unprovoked,USA,Jumping,M,5,N
06-Jul-00,jul,2000,Unprovoked,USA,Playing,F,12,N
04-Jul-00,jul,2000,Unprovoked,USA,Wading,F,20,N
04-Jul-00,jul,2000,Unprovoked,USA,"Spearfishing, holding mesh bag with speared fish",F,55,N
02-Jul-00,jul,2000,Unprovoked,USA,Wading,F,13,N
02-Jul-00,jul,2000,Unprovoked,USA,Standing,F,19,N
30-Jun-00,jun,2000,Unprovoked,PAPUA NEW GUINEA,,M,,Y
29-Jun-00,jun,2000,Boat,NEW ZEALAND,Fishing,M,,N
19-Jun-00,jun,2000,Unprovoked,USA,Standing,M,52,N
13-Jun-00,jun,2000,Boat,USA,Sailing,,,N
10-Jun-00,jun,2000,Unprovoked,USA,Surfing,M,17,N
09-Jun-00,jun,2000,Unprovoked,USA,Swimming,M,55,N
09-Jun-00,jun,2000,Unprovoked,USA,Swimming ,M,44,N
02-Jun-00,jun,2000,Unprovoked,USA,Snorkeling,M,13,N
13-May-00,may,2000,Sea Disaster,NEW CALEDONIA,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",,,Y
09-May-00,may,2000,Invalid,AUSTRALIA,,,,Y
07-May-00,may,2000,Unprovoked,PAPUA NEW GUINEA,Standing,M,9,N
07-May-00,may,2000,Unprovoked,PAPUA NEW GUINEA,Diving,M,,Y
14-Apr-00,apr,2000,Unprovoked,USA,Walking,M,34,N
09-Apr-00,apr,2000,Unprovoked,USA,Boogie boarding / wading,M,,N
31-Mar-00,mar,2000,Unprovoked,USA,Fishing,M,,N
30-Mar-00,mar,2000,Unprovoked,AUSTRALIA,Swimming,M,26,N
26-Mar-00,mar,2000,Unprovoked,USA,Boogie boarding,F,14,N
24-Mar-00,mar,2000,Unprovoked,USA,Surfing,M,37,N
15-Mar-00,mar,2000,Unprovoked,NEW CALEDONIA,Spearfishing,M,35,Y
14-Mar-00,mar,2000,Unprovoked,AUSTRALIA,Surfing,M,,N
10-Mar-00,mar,2000,Boat,AUSTRALIA,Rowing,,,N
09-Mar-00,mar,2000,Boat,AUSTRALIA,Rowing,,,N
Reported      03-Mar-2000,mar,2000,Invalid,NEW ZEALAND,Kayaking,M,27,
02-Mar-00,mar,2000,Unprovoked,AUSTRALIA,Swimming,M,,N
21-Feb-00,feb,2000,Unprovoked,USA,,M,27,N
19-Feb-00,feb,2000,Unprovoked,SOUTH AFRICA,Body surfing,M,,N
14-Feb-00,feb,2000,Provoked,ENGLAND,Feeding prawns to captive sharks,M,,N
03-Feb-00,feb,2000,Unprovoked,NEW ZEALAND,Surfing,M,12,N
01-Feb-00,feb,2000,Unprovoked,AUSTRALIA,Surfing,M,26,N
Reported 28-Jan-2000,jan,2000,Boat,REUNION,Canoe with 3 men onboard sank,M,,Y
05-Jan-00,jan,2000,Unprovoked,THAILAND,Diving,M,35,Y
31-Dec-99,dec,1999,Unprovoked,NEW ZEALAND,Surfing,M,15,N
31-Dec-99,dec,1999,Unprovoked,NEW ZEALAND,Swimming,F,13,N
31-Dec-99,dec,1999,Unprovoked,NEW ZEALAND,Bathing,F,12,N
26-Dec-99,dec,1999,Unprovoked,BRAZIL,Surfing,M,18,N
14-Dec-99,dec,1999,Invalid,USA,Scuba diving,M,,Y
06-Dec-99,dec,1999,Invalid,BRAZIL,Spearfishing,M,39,N
02-Dec-99,dec,1999,Unprovoked,USA,Surfing,M,35,N
30-Nov-99,nov,1999,Unprovoked,USA,Surfing,M,19,N
23-Nov-99,nov,1999,Unprovoked,USA,Swimming,F,51,N
15-Nov-99,nov,1999,Unprovoked,USA,Surfing (sitting on his board),M,,N
13-Nov-99,nov,1999,Unprovoked,SOUTH AFRICA,Surfing,M,35,N
06-Nov-99,nov,1999,Unprovoked,BRAZIL,"Spearfishing, but swimming at surface",M,39,N
30-Oct-99,oct,1999,Unprovoked,USA,Body boarding,M,45,N
30-Oct-99,oct,1999,Unprovoked,USA,Body surfing,M,13,N
20-Oct-99,oct,1999,Unprovoked,USA,Surfing,M,,N
01-Oct-99,oct,1999,Unprovoked,USA,"Surfing, lying on surfboard",M,16,N
29-Sep-99,sep,1999,Unprovoked,USA,Wading to shore after surfing,M,22,N
24-Sep-99,sep,1999,Boat,ITALY,Fishing,,,N
Reported 16-Sep-1999,sep,1999,Unprovoked,USA,Wading,F,61,N
10-Sep-99,sep,1999,Unprovoked,USA,Wading,F,10,N
05-Sep-99,sep,1999,Unprovoked,USA,Surfing,M,13,N
04-Sep-99,sep,1999,Provoked,USA,Wading,M,7,N
04-Sep-99,sep,1999,Unprovoked,USA,Wading with surfboard,M,39,N
26-Aug-99,aug,1999,Unprovoked,USA,Surfing,M,28,N
24-Aug-99,aug,1999,Unprovoked,USA,Surfing,M,,N
23-Aug-99,aug,1999,Unprovoked,MARSHALL ISLANDS,Fishing,M,23,N
21-Aug-99,aug,1999,Unprovoked,USA,Surfing,M,17,N
16-Aug-99,aug,1999,Unprovoked,USA,Lying prone in 2' of water,M,10,N
05-Aug-99,aug,1999,Unprovoked,USA,Body surfing,M,62,N
05-Aug-99,aug,1999,Unprovoked,BAHAMAS,Spearfishing & holding catch,M,35,N
29-Jul-99,jul,1999,Unprovoked,SOUTH AFRICA,Surfing,M,42,N
26-Jul-99,jul,1999,Unprovoked,USA,Swimming with dolphins,M,43,N
21-Jul-99,jul,1999,Unprovoked,USA,Surfing,M,43,N
15-Jul-99,jul,1999,Unprovoked,SOUTH AFRICA,Boogie boarding,M,14,Y
06-Jul-99,jul,1999,Unprovoked,USA,,M,,N
04-Jul-99,jul,1999,Unprovoked,USA,Wading in school of baitfish,F,30,N
03-Jul-99,jul,1999,Unprovoked,SOUTH AFRICA,Surfing,M,29,N
19-Jun-99,jun,1999,Unprovoked,USA,Adrift in a life jacket,M,20,N
17-Jun-99,jun,1999,Unprovoked,USA,Surfing,M,21,N
12-Jun-99,jun,1999,Unprovoked,USA,Swimming,M,41,N
09-Jun-99,jun,1999,Unprovoked,USA,Splashing / wading,M,5,N
29-May-99,may,1999,Unprovoked,AUSTRALIA,Windsurfing,M,22,Y
01-May-99,may,1999,Unprovoked,BRAZIL,Surfing,M,21,N
22-Apr-99,apr,1999,Unprovoked,MAURITIUS,Swimming,F,41,N
11-Apr-99,apr,1999,Unprovoked,REUNION,Swimming after being swept into sea by a large wave,M,52,Y
01-Apr-99,apr,1999,Unprovoked,USA,Surfing,M,14,N
Reported 18-Mar-1999 ,mar,1999,Unprovoked,NEW ZEALAND,Spearfishing & diving for paua,M,,N
18-Mar-99,mar,1999,Provoked,BRAZIL,Scientific research (Dr. Sonny Gruber's student),M,,N
18-Mar-99,mar,1999,Unprovoked,USA,"Swimming, towing a kayak",F,29,Y
14-Mar-99,mar,1999,Unprovoked,NEW CALEDONIA,Spearfishing,M,,N
14-Mar-99,mar,1999,Provoked,NEW ZEALAND,Fishing,M,28,N
08-Mar-99,mar,1999,Unprovoked,USA,Body surfing or body boarding,M,18,N
05-Mar-99,mar,1999,Unprovoked,USA,Swimming near pod of whales,F,29,N
26-Feb-99,feb,1999,Boat,USA,Cruising,,,N
23-Feb-99,feb,1999,Unprovoked,AUSTRALIA,Surfing,M,35,N
03-Feb-99,feb,1999,Unprovoked,USA,Surfing,M,25,N
29-Jan-99,jan,1999,Unprovoked,MAURITIUS,Spearfishing,M,47,N
 13-Jan-1999,jan,1999,Unprovoked,SOUTH AFRICA,Paddle Skiing,M,,N
01-Jan-99,jan,1999,Boat,NEW ZEALAND,Inflatable boat,,,N
Reported 03-Jan-1999,jan,1999,Invalid,AUSTRALIA,Fishing,F,37,N
03-Jan-99,jan,1999,Unprovoked,REUNION,Spearfishing,,,Y
24-Dec-98,dec,1998,Provoked,USA,Surfing,M,19,N
22-Dec-98,dec,1998,Unprovoked,AUSTRALIA,Standing,F,21,N
Reported 20-Dec-1998,dec,1998,Unprovoked,SOUTH AFRICA,Surfing,M,18,N
18-Dec-98,dec,1998,Unprovoked,SOUTH AFRICA,Splashing,M,14,N
15-Dec-98,dec,1998,Unprovoked,AUSTRALIA,Surfing,F,21,N
21-Nov-98,nov,1998,Unprovoked,USA,Swimming,M,9,Y
14-Nov-98,nov,1998,Unprovoked,USA,Surfing,M,14,N
11-Nov-98,nov,1998,Unprovoked,USA,Walking,M,13,N
05-Nov-98,nov,1998,Unprovoked,USA,Surfing,M,32,N
02-Nov-98,nov,1998,Provoked,JAPAN,Fishing for tuna,M,52,N
02-Nov-98,nov,1998,Unprovoked,BRAZIL,Surfing,M,22,Y
24-Oct-98,oct,1998,Unprovoked,USA,Swimming,F,17,N
18-Oct-98,oct,1998,Unprovoked,SOUTH AFRICA,Surfing,M,30,N
10-Oct-98,oct,1998,Unprovoked,USA,Surfing,M,,N
04-Oct-98,oct,1998,Unprovoked,BRAZIL,Surfing,M,17,N
01-Oct-98,oct,1998,Unprovoked,REUNION,Diving,,,N
01-Oct-98,oct,1998,Unprovoked,USA,,M,28,N
27-Sep-98,sep,1998,Unprovoked,USA,Surfing,M,6,N
22-Sep-98,sep,1998,Unprovoked,USA,Surfing,M,18,N
Reported 16-Sep-1998,sep,1998,Unprovoked,SOUTH AFRICA,Fishing / washing bait off hands,M,,N
14-Sep-98,sep,1998,Unprovoked,USA,Surfing,M,28,N
30-Aug-98,aug,1998,Unprovoked,USA,Surfing,M,26,N
27-Aug-98,aug,1998,Invalid,ITALY,Fishing,,,N
26-Aug-98,aug,1998,Unprovoked,USA,Boogie boarding,M,16,N
Reported      23-Aug-1998,aug,1998,Unprovoked,USA,Spearfishing,M,,N
15-Aug-98,aug,1998,Unprovoked,BAHAMAS,Spearfishing,M,28,N
13-Aug-98,aug,1998,Unprovoked,USA,Body-boarding,M,11,N
12-Aug-98,aug,1998,Provoked,SOUTH AFRICA,Moving a shark in a net ,M,,N
01-Aug-98,aug,1998,Unprovoked,SOUTH AFRICA,Surfing (or body boarding),M,19,N
01-Aug-98,aug,1998,Unprovoked,SOUTH AFRICA,Spearfishing,M,24,N
26-Jul-98,jul,1998,Unprovoked,BRAZIL,Surfing,M,,N
25-Jul-98,jul,1998,Unprovoked,USA,Surfing,M,13,N
06-Jul-98,jul,1998,Unprovoked,SOUTH AFRICA,Wading,M,47,N
11-Jul-98,jul,1998,Unprovoked,SOUTH AFRICA,Surfing,M,16,N
06-Jul-98,jul,1998,Unprovoked,SOUTH AFRICA,Surfing,M,10,N
28-Jun-98,jun,1998,Unprovoked,AUSTRALIA,Free diving for abalone,M,26,Y
22-Jun-98,jun,1998,Unprovoked,SOUTH AFRICA,Body Boarding,M,20,Y
08-Jun-98,jun,1998,Unprovoked,USA,Surfing,M,18,N
05-Jun-98,jun,1998,Unprovoked,SOUTH AFRICA,Surfing,M,,N
30-May-98,may,1998,Unprovoked,SOUTH AFRICA,Surfing,M,17,N
29-May-98,may,1998,Unprovoked,SOUTH AFRICA,Body boarding,M,15,N
29-May-98,may,1998,Unprovoked,SOUTH AFRICA,Body boarding,M,16,N
25-May-98,may,1998,Unprovoked,USA,Surfing,M,40,N
16-May-98,may,1998,Unprovoked,USA,Swimming,F,14,N
16-May-98,may,1998,Unprovoked,USA,Swimming / surfing,M,24,N
16-May-98,may,1998,Unprovoked,SOUTH AFRICA,Body boarding,M,22,N
26-Apr-98,apr,1998,Unprovoked,MOZAMBIQUE,Towing rubber dinghy,F,35,Y
21-Apr-98,apr,1998,Unprovoked,USA,Surfing (lying prone on his board),M,50,N
17-Apr-98,apr,1998,Provoked,USA,Scuba diving,M,16,N
01-Apr-98,apr,1998,Unprovoked,BRAZIL,Swimming ,M,,Y
31-Mar-98,mar,1998,Unprovoked,USA,Swimming,M,40,N
15-Mar-98,mar,1998,Unprovoked,SOUTH AFRICA,Snorkeling � hunting crayfish and abalone,M,33,N
08-Mar-98,mar,1998,Unprovoked,USA,Swimming or paddle boarding,M,32,N
23-Feb-98,feb,1998,Unprovoked,USA,Swimming,M,,N
Reported 28-Jan-1998,jan,1998,Invalid,AUSTRALIA,Spearfishing,M,31,Y
25-Jan-98,jan,1998,Unprovoked,REUNION,Bathing,M,,Y
25-Jan-98,jan,1998,Unprovoked,SOUTH AFRICA,Surfing,M,21,N
17-Jan-98,jan,1998,Unprovoked,AUSTRALIA,Surfing,M,,N
14-Jan-98,jan,1998,Unprovoked,MOZAMBIQUE,Surfing,M,23,N
28-Dec-97,dec,1997,Unprovoked,SOUTH AFRICA,Spearfishing,M,39,Y
28-Dec-97,dec,1997,Unprovoked,SOUTH AFRICA,Sitting on surfboard,M,,N
25-Dec-97,dec,1997,Invalid,USA,,F,29,N
25-Dec-97,dec,1997,Unprovoked,USA,Swimming,M,8,N
09-Nov-97,nov,1997,Unprovoked,AUSTRALIA,Scuba diving (submerged riding a scooter),M,42,N
Reported 05-Nov-1997,nov,1997,Unprovoked,USA,Swimming,M,32,N
 05-Nov-1997,nov,1997,Invalid,AUSTRALIA,Unknown,M,21,Y
28-Oct-97,oct,1997,Unprovoked,AUSTRALIA,Surf-skiing,M,51,N
28-Oct-97,oct,1997,Unprovoked,USA,Body boarding or surfing,M,19,N
24-Oct-97,oct,1997,Unprovoked,USA,Surfing,M,23,N
21-Oct-97,oct,1997,Unprovoked,USA,Surfing,M,12,N
Reported 11-Oct-1997,oct,1997,Boat,SOUTH AFRICA,Fishingat,,,N
04-Oct-97,oct,1997,Unprovoked,USA,Swimming,F,14,N
16-Sep-97,sep,1997,Unprovoked,BRAZIL,Swimming,M,20,Y
09-Sep-97,sep,1997,Unprovoked,USA,Surfing,M,12,N
08-Sep-97,sep,1997,Unprovoked,USA,Surfing,,17,N
06-Sep-97,sep,1997,Unprovoked,USA,Surfing,M,20,N
30-Aug-97,aug,1997,Unprovoked,USA,Surfing,M,18,N
27-Aug-97,aug,1997,Unprovoked,USA,Walking / surfing,M,22,N
24-Aug-97,aug,1997,Unprovoked,USA,Surfing (sitting on his board),M,29,N
14-Aug-97,aug,1997,Invalid,MEXICO,SCUBA diving,M,28,Y
14-Aug-97,aug,1997,Unprovoked,MEXICO,SCUBA diving,M,33,Y
11-Aug-97,aug,1997,Unprovoked,USA,Floating on raft,F,12,N
11-Aug-97,aug,1997,Unprovoked,EGYPT,Fishing,M,17,N
11-Aug-97,aug,1997,Unprovoked,EGYPT,Fishing,M,16,Y
10-Aug-97,aug,1997,Unprovoked,USA,Boogie boarding,M,17,N
09-Aug-97,aug,1997,Unprovoked,USA,Surfing,M,,N
05-Aug-97,aug,1997,Unprovoked,USA,Wading,F,10,N
04-Aug-97,aug,1997,Unprovoked,USA,Wade-fishing,M,,N
02-Aug-97,aug,1997,Unprovoked,USA,Body surfing,M,17,N
02-Aug-97,aug,1997,Unprovoked,USA,Wading / Surfing,M,19,N
